IDENT,PROBLEM,ACTION
103570,top of engine crankcase is leaking oil through 2 middle throttle throttle top of engine crankcase is leaking oil through 2 midd,removed bolts from where oil was leaking. cleaned bolt
103571,"right-hand engine, right-hand rear baffle cracked.",stop drilled crack.
103572,"right-hand engine, left-hand rear baffle support cracked.",stop drilled crack.
103573,left-hand engine number 2 and number 3 intake gaskets leaking.,removed and replaced intake gaskets.
103574,number 4 baffle has loose hardware on right-hand engine.,tightened hardware.
103575,intakes number 2 and number 4 leaking on right-hand engine.,installed new intake gaskets.
103576,number 4 rubber baffle seal torn on right-hand engine.,reattached rubber baffle seal.
103577,"intakes number 2, 3 and 4 are leaking on left-hand engine.",removed and replaced intake gaskets.
103578,cylinder number 2 intake leaking.,removed and replaced intake gasket.
103579,cylinder number 4 rocker cover gasket leaking.,replaced rocker cover gasket.
103580,number 4 cylinder baffle inspected hole doubler required.,installed baffle inspection hole doubler in accordance with se standard reference material 51
103581,left engine bleed air line chafing.,repositioned line.
103582,left-hand aft cowl inboard access panel screw stripped.,removed screw and replaced with new.
103583,left-hand engine reported as smoking after shutdown.,"inspected purge system, checked ok."
103584,number 1 and number 4 intake gaskets leaking.,removed and replaced intake gaskets.
103585,number 2 and number 3 rocker cover gaskets leaking.,removed and replaced rocker cover gaskets.
103586,number 1 and number 2 intake gaskets leaking.,removed and replaced intake gaskets.
103587,right-hand engine rough during taxi.,ran aircraft and confirmed discrepancy. inspected number 3 cylinder with borescrepancy. inspected number 3 cylinder with boresc
103588,cylinder number 1 rocker gasket leaking.,removed and replaced gasket.
103589,number 1 intake gasket leaking.,removed and replaced intake gasket.
103590,number 1 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
103591,start assist.,started aircraft for pilot.
103592,number 2 intake gasket leaking.,replaced gasket.
103593,number 2 intake gasket leaking.,removed and replaced with new gasket.
103594,number 2 intake leaking.,removed and replaced number 2 intake gasket.
103595,number 2 intake leaks.,removed and replaced with new intake gasket.
103596,number 2 and number 4 intake gaskets leaking.,removed and replaced intake gaskets.
103597,number 3 and 4 rocker cover gaskets leaking.,removed and replaced rocker cover gaskets.
103598,"left,hand engine baffle cracked.",fabricated patch for side baffle. drilled and riveted patch
103599,right-hand number 3 rocker cover leaking.,"removed, cleaned and installed new gasket."
103600,right-hand engine number 4 intake gasket leaking.,removed and replaced with new gasket.
103601,"left-hand engine number 2, 3, and 4 intake gaskets leaking.",removed and replaced intake gaskets with new.
103602,number 2 intake gasket leaking.,installed new number 2 intake gasket.
103603,number 3 rocker cover gasket leaking.,removed and replaced gasket.
103604,number 2 intake gasket leaking.,removed and replaced intake gasket.
103605,left-hand engine number 4 cylinder intake gasket is leaking.,removed and replaced gasket.
103606,"left,hand engine number 4 cylinder side baffle is missing a bolt.",installed new hardware.
103607,right-hand engine number 4 cylinder rocker cover gasket is leaking.,removed and replaced gasket.
103608,left-hand engine number 2 and number 4 cylinder rocker cover gaskets are leaking.,removed and replaced gaskets.
103609,number 3 rocker cover gasket leaking.,"removed, cleaned and installed new gasket."
103610,"cowl seal, above number 3 cylinder baffle, fell off rivet.",removed and replaced rivet.
103611,number 3 intake gasket leaks on left-hand engine.,"removed, cleaned and installed new gasket."
103612,number 2 and number 4 intake gaskets leaking on right-hand engine.,removed and replaced with new gaskets.
103613,"right-hand engine, right-hand front engine baffle seal needs to be resecured","resecured right-hand engine, right-hand front engine baffle seal."
103614,"left, hand number 2, 3 and 4 intake tube gaskets leaking.","replaced left-hand number 2, 3, and 4 intake gaskets."
103615,both baffle plug tabs broken off.,installed new plugs.
103616,number 2 and number 4 cylinder intake gaskets leaking.,removed and replaced intake gaskets.
103617,rocker box cover screws loose.,tightened screws.
103618,number 4 cylinder harness clamp broken.,installed new clamp.
103619,number 3 and 4 rocker cover gaskets are leaking.,removed and replaced with new gaskets.
103620,"departing 17 left-hand at 2450 pounds, during climb out at 2000 feet msl, were departing 17 left-hand at 2450 pounds, during cl","performed full ground run, no defects noted. maintenance flight run"
103621,number 4 intake gasket is leaking.,removed and replaced with new gasket.
103622,screw missing on number 3 baffle bracket.,found screw and reinstalled.
103623,found broken cover screw on ground.,"removed cowl, all screws accounted for. replaced cowl."
103624,"left,hand forward number 2 engine baffle cracked.",stop drilled crack.
103625,number 1 and number 2 intake gaskets leaking.,removed and replaced intake gaskets.
103626,number 4 rocker gasket leaking.,tightened loose bolts.
103627,number 2 cylinder baffle seal needs to be secured.,resecured cylinder number 2 side baffle seal.
103628,number 1 cylinder forward baffle cracked.,stop drilled crack.
103629,number 4 intake gasket leaking.,removed and replaced gasket.
103630,"on post run up, found engine running rough at idle. number 2 cylinder cylinder",operations and leak checked good.
103631,"on post run up, found engine running rough at idle. number 2 cylinder cylinder",removed push rods and valve spring. found step on intake
103632,"on post run up, found engine running rough at idle. number 2 cylinder cylinder",replaced cylinder with new cylinder assembly. torqued to case.
103633,"left-hand engine, left-hand baffle tie rod broken.",removed and replaced broken baffle tie.
103634,cylinder number 3 push rod tube adel clamp has worn rubber.,removed and replaced adel clamp.
103635,number 3 intake gasket leaking.,removed and replaced number 3 intake gasket.
103636,number 4 rocker cover gasket leaking.,removed and replaced number 4 cylinder rocker cover gasket.
103637,"upon run up, rough magneto and not within tolerance. ran fouled procedure",ran aircraft and found right-hand magneto to have rough magneto drop. removed
103638,start assist required.,started aircraft using normal procedures.
103639,start assist required.,started aircraft using normal procedures.
103640,number 4 intake gasket leaking.,"removed, cleaned and replaced with new gasket."
103641,"left,hand rear engine baffle cracked.",stop drilled crack.
103642,number 2 intake gasket leaking.,removed and replaced number 2 intake gasket.
103643,number 2 and number 4 rocker cover gasket leaking.,removed and replaced rocker cover gaskets.
103644,"engine baffle cracked, above number 1 cylinder.",stop drilled crack.
103645,number 2 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
103646,cylinder number 2 and number 4 intake gasket leaking.,removed and replaced intake gaskets.
103647,rocker cover gasket cylinder number 3 and number 4 leaking.,removed and replaced rocker cover gaskets.
103648,"right, hand baffle spring broken.",installed new baffle spring.
103649,number 2 cylinder intake gasket leaking.,replaced intake gasket.
103650,number 1 cylinder rocker cover leaking.,replaced rocker cover gasket.
103651,right-hand number 3 intake gasket is leaking.,replaced number 3 intake gasket.
103652,"right, hand number 3 aft baffle seal has a hole.",removed seal and installed new seal with pop rivets.
103653,cylinder number 3 baffle screw loose.,tightened number 3 cylinder baffle screw.
103654,"left,hand engine intake 2 and 3 leaking.",removed and replaced gaskets.
103655,baffle seal loose above number 4 cylinder on left-hand engine.,secured baffle seal.
103656,oil coolers dirty.,cleaned forward and aft oil coolers.
103657,sniffler valves dirty.,"removed, cleaned and reinstalled both sniffler valves."
103658,number 2 rocker cover gasket leaking.,removed and replaced number 2 rocker cover gasket.
103659,number 3 intake gasket leaking.,removed and replaced intake gasket.
103660,crack extending beyond stop drill on upper number 2 cylinder baffle.,stop drilled crack.
103661,number 2 intake gasket leaking.,leak check good.
103662,number 2 intake gasket leaking.,replaced gasket.
103663,number 3 rocker cover gasket leaking.,leak check good.
103664,number 3 rocker cover gasket leaking.,replaced gasket.
103665,number 3 aft baffle screw appears to be loose behind dipstick tube,tightened screw.
103666,forward lower engine seal worn above air intake.,filled in worn spots with black rtv.
103667,number 2 intake leaking.,removed and replaced intake gasket.
103668,cylinder number 2 intake gasket leaking.,removed and replaced intake gasket.
103669,"left,hand engine number 2 baffle loose.",secured baffle section.
103670,"number 1, 2, and 4 rocker gaskets leaking.","removed, cleaned and replaced with new gaskets."
103671,"number 2, 3, and 4 intake gaskets leaking on left-hand engine.",removed and replaced intake gaskets.
103672,number 1 rocker cover gasket leaking on right-hand engine.,removed and replaced rocker cover gasket.
103673,number 3 rocker cover gasket leaking on left-hand engine.,removed and replaced rocker cover gasket.
103674,number 3 and 4 intake gaskets leaking on right-hand engine.,removed and replaced intake gaskets on right-hand engine.
103675,number 2 intake leaking.,removed and replaced intake gasket.
103676,number 4 cylinder rocker cover is missing screw.,installed new screw.
103677,right-hand engine number 3 intake tube gasket leaking.,"removed, cleaned and replaced with new gasket."
103678,"left-hand engine number 2, 3 and 4 intake tube gaskets leaking.","removed, cleaned and replaced with new gaskets."
103679,"left-hand engine numbers 1, 2, 3 and 4 rocker box cover gaskets leaking.","removed, cleaned and replaced with new gaskets."
103680,number 3 rocker box cover gasket leaking.,installed new rocker box cover gasket.
103681,number 2 rocker gasket leaking.,tightened bolts.
103682,number 1 cylinder rocker gasket leaking.,replaced gasket.
103683,"number 2, and number 4 cylinder intercooling baffle wire needs to be repositions number 2, and number 4 cylinder intercooling b",repositioned wire in new baffle slot and applied spiral wire
103684,right-hand engine number 3 and number 4 intake gaskets leaking.,removed and replaced intake gaskets.
103685,number 2 and number 4 cylinder intakes leaking on left-hand engine.,removed and replaced intake gaskets.
103686,baffle plug out,installed plug
103687,short dipstick installed,removed short dipstick and installed long one
103688,forward lower seal on baffling worn at air intake.,installed rtv to areas.
103689,left-hand engine all rocker box cover screws loose.,tightened screws.
103690,left-hand engine number 1 rocker cover gasket leaking.,removed old gasket and replaced with new.
103691,"left,hand engine number 4 intake gasket leaking.","removed old gasket, replaced with new gasket."
103692,number 4 intake gasket leaking.,installed new gasket.
103693,baffle plugs need to be replaced.,installed new baffle plugs.
103694,"number 4 cylinder has low compression, leaking number 4 exhaust valve.",removed piston and injector.
103695,number 2 and number 4 baffle connect wire installed below intercylinder baffle,rerouted baffle connect wire.
103696,"number 4 cylinder has low compression, leaking number 4 exhaust valve.",ran engine. operations and leak check good.
103697,"number 4 cylinder has low compression, leaking number 4 exhaust valve.",removed cylinder number 4 and verified exhaust valve to be burnt.
103698,"number 4 cylinder has low compression, leaking number 4 exhaust valve.","began cylinder removal, exhaust stack, intake tube and baffle"
103699,"number 4 cylinder has low compression, leaking number 4 exhaust valve.",installed new cylinder and piston kit in accordance with lycom
103700,cylinder number 3 intake gasket leaking.,removed and replaced intake gasket.
103701,baffle plugs are worn.,installed new baffle plugs.
103702,engine baffle screw loose behind oil filler tube.,tightened screw.
103703,cable sheath loose on pilots seat.,secured cable sheath. operations check good.
103704,sniffler valves dirty.,cleaned both sniffler valves.
103705,number 3 baffle seal rivets loose.,removed and installed new rivet in accordance with se standard reference material 51 to 40 to 0
103706,top bolt on engine case leaking.,cleaned and sealed bolts.
103707,number 4 cylinder intake gasket leaking.,removed and replaced gasket with new.
103708,engine baffle cracked above number 1 cylinder.,stop drilled crack.
103709,number 2 intake tube gasket leaking.,installed new intake gasket.
103710,missing screw on cylinder number 3 baffle.,installed screw.
103711,"right-hand aft engine baffle screw missing, secured to engine case.",installed screw on engine baffle.
103712,"numbers 1, 2, 3, and 4 rocker cover gaskets need to be replaced.",removed and replaced rocker cover gaskets.
103713,"missing baffle screw on right-hand upper rocker cover, number 1 cylinder.",installed new baffle screw on right-hand number 1 cylinder baffle.
103714,number 4 rocker cover gasket leaking.,removed and replaced number 4 rocker cover gasket.
103715,cylinder number 2 intake gasket leaking.,removed and replaced intake gasket.
103716,"rocker cover gasket, cylinder number 3, leaking.",removed and replaced rocker cover gasket.
103717,"left, hand number 3 intake gasket leaking.",removed and replaced gasket.
103718,right-hand number 4 rocker cover is leaking.,replaced rocker cover gasket.
103719,"left-hand number 3, and number 4 rocker cover gaskets leaking.",removed and replaced gaskets.
103720,left-hand engine baffle tie rod is rubbing on number 2 oil return line clamp,repositioned clamp.
103721,number 3 intake tube gasket leaking.,installed new intake tube gasket.
103722,number 4 inatke gasket leaking.,removed and replaced with new gasket.
103723,number 1 rocker cover gasket leaking.,"removed, cleaned and replaced gasket."
103724,baffle screw behind dipstick missing.,installed screw in baffle and resafety wired dipstick tube
103725,oil cooler timed out.,removed and replaced oil cooler. installed oil cooler
103726,rivet pulled through engine baffle seal above number 2 cylinder.,removed rivet and secured baffle with like hardware.
103727,"number 2, and number 3 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
103728,fod on oil cooler,removed fod off oil cooler
103729,fod on top of engine,removed fod from top of engine
103730,number 2 cylinder rocker cover gasket leaking.,replaced rocker cover gasket.
103731,right-hand engine number 2 and number 4 intake have slight leak.,replaced gaskets.
103732,rocker cover gasket cylinder number 2 leaking.,removed and replaced gasket.
103733,intake gasket cylinder number 4 leaking.,removed and replaced intake gasket.
103734,left engine lower fire seal loose.,replaced seal.
103735,right-hand engine intake screen loose.,replaced right-hand engine intake screen.
103736,"1 first stage compressor blade has damage, near tip.",inspected and found nicked leading edge first stage compression
103737,right-hand engine aft baffle support bracket rivets are sheared.,removed baffle. installed new rivets in accordance with reference manual
103738,right-hand engine number 3 intake tube gasket leaking.,replaced gasket.
103739,right-hand engine number 2 and number 3 rocker box cover gasket leaking.,replaced gaskets.
103740,left-hand engine number 2 and number 4 intake tube gaskets leaking.,removed and replaced with new gaskets.
103741,right-hand engine number 2 and number 4 rocker cover gaskets leaking.,removed and replaced rocker cover gaskets.
103742,"numbers 1, 2 and 4 cylinder rocker cover gaskets are leaking.",removed and replaced with new gaskets.
103743,intake gasket cylinder number 4 leaking.,removed and replaced intake gasket.
103744,number 1 cylinder baffle seal loose.,secured seal.
103745,"number 1, and number 2 cylinder rocker cover gaskets leaking.",removed and replaced gaskets.
103746,number 2 intake leaking.,removed and replaced intake gasket.
103747,number 2 and number 4 rocker covers leaking.,removed and replaced rocker cover gaskets.
103748,number 2 intake gasket leaking.,removed and replaced gasket.
103749,number 3 and number 4 rocker gaskets leaking.,removed and replaced gaskets.
103750,left outboard baffle tie wire broken.,installed baffle tie listed in parts manual.
103751,intakes 3 and 4 leaking.,removed and replaced intake gaskets.
103752,number 3 exhaust valve leaking on right-hand engine.,"run up, operations and leak check ok."
103753,right-hand engine cylinder number 4 side baffle seal is coming loose.,resecured loose seal.
103754,right-hand cylinder number 3 aft baffle is cracked.,fabricated patch of like material and riveted in accordance with reference manual
103755,number 3 exhaust valve leaking on right-hand engine.,"installed cylinder rockers, cylinder baffle, torqued spark plugs"
103756,number 3 exhaust valve leaking on right-hand engine.,tried to stake valve with no affect. rocker cover is removed
103757,number 3 exhaust valve leaking on right-hand engine.,removed and installed repaired cylinder assembly. torqued mounting
103758,"left-hand engine, left-hand forward baffle seal is loose.",resecured baffle seal.
103759,intake gasket cylinder number 4 leaking.,removed and replaced intake gasket.
103760,"left,hand forward engine baffle cracked.",stop drilled crack.
103761,"left,hand rear engine baffle support cracked.",fabricated new baffle support of like material and riveted
103762,intakes number 2 and number 4 leaking on right-hand engine.,removed and replaced intake gaskets.
103763,right-hand engine number 1 cylinder has low compressions 55 psi.,"staked exhaust valve, operations check good on compressions."
103764,"number 2, 3, and 4 intake gaskets leaking.",removed and replaced intake gaskets.
103765,number 4 rocker cover gasket leaking.,removed and replaced number 4 rocker cover gasket.
103766,number 4 rocker cover gasket leaking.,removed and replaced gasket.
103767,number 4 cylinder intake leaking.,removed and replaced intake gasket.
103768,left-hand engine number 1 and number 4 rocker covers are leaking.,replaced gaskets.
103769,"left-hand and right-hand engine firewalls need to be sealed, where engine control",cleaned firewall on both engines and applied firewall sealant
103770,"right-hand engine, right-hand baffle tie rod is rubbing on oil return line house",moved right-hand engine baffle tie rod off of oil return line hose
103771,number 3 intake leaking on right-hand engine.,removed and replaced number 3 intake gasket.
103772,number 2 intake gasket leaking.,replaced intake gasket.
103773,both engine baffle plugs worn.,replaced plugs.
103774,top bolt on crankcase has oil leak.,"removed bolt, applied sealant to bolt and reinstalled bolt"
103775,fod on top of engine,removed fod from top of engine
103776,oil cooler bolt backed off,tightened bolt on the oil cooler
103777,number 4 and number 1 intake gasket leaking.,removed and replaced intake gaskets.
103778,number 2 rocker cover gasket leaking.,removed and replaced number 2 rocker cover gasket.
103779,cracks noted extending from rivet on inside of number 2 cylinder baffle,"stop drilled cracks on number 1 cylinder baffle, on inside."
103780,engine right-hand rear baffle support bracket loose.,"removed rear baffle, drilled out rivets on baffle support"
103781,number 4 intake leaking.,removed and replaced number 4 intake gasket.
103782,damaged grommet for oil pressure switch wire harness through,"removed and replaced grommet. inspected wires for damage,"
103783,"aft left-hand engine baffle cracked, top corner next to cylinder number 4.",stop drilled crack.
103784,oil collecting on bottom of left-hand nacelle. pooling on interior,"inspected. replaced o , ring on engine breather fitting."
103785,oil collecting on bottom of left-hand nacelle. pooling on interior,"added, ran, no leaks or seep found. cowled and cowled"
103786,oil collecting on bottom of left-hand nacelle. pooling on interior,removed left-hand lower nacelle panel. began visual inspection to fahrenheit
103787,start assist on left-hand engine.,started aircraft for pilot.
103788,"during cruise, rpm oversped, highest number seen was 2740.",analyzed fdm card data. found to be momentary overspeed
103789,crew was unable to start left-hand engine.,got left-hand engine started for crew.
103790,"start assist, left-hand engine.",started left-hand engine for pilot.
103791,engine idle speed at 780 rpm.,"ran up aircraft, unable to duplicate discrepancy. operations check good"
103792,number 2 and number 3 intake gaskets leaking on right-hand engine.,removed and replaced gaskets.
103793,number 2 and number 3 cylinder rocker covers leaking.,removed and replaced rocker cover gaskets.
103794,right-hand engine number 3 intake gasket leaking.,removed and replaced gasket.
103795,all valve covers loose.,tightened all covers.
103796,1 baffle button worn.,"replaced with new, right-hand side."
103797,number 2 intake gasket leaking.,removed and replaced number 2 intake gasket.
103798,number 4 rocker cover is leaking.,removed and replaced gasket.
103799,"forward baffle seal worn, by air filter.",applied rtv to worn areas.
103800,"left-hand engine, left-hand rear engine baffle cracked.",stop drilled crack.
103801,right-hand engine number 3 and number 4 intake gaskets leaking.,removed and replaced gaskets.
103802,"left,hand engine number 3 intake leaking.",removed and replaced intake gasket.
103803,"number 2 and number 3 rocker cover gaskets leaking, left-hand engine.",removed and replaced rocker cover gaskets.
103804,number 3 and number 4 intakes leaking.,removed and replaced intake gaskets.
103805,"oil leak at front lower portion of crankcase, near oil seal.","ran engine, leak check good."
103806,"oil leak at front lower portion of crankcase, near oil seal.",replaced crankshaft oil seal in accordance with lycoming.
103807,screw missing from number 3 side baffle.,installed screw.
103808,number 3 intake tube gasket is leaking.,removed and replaced intake gasket.
103809,number 2 rocker box cover is leaking.,removed and replaced rocker cover gasket.
103810,left-hand engine number 2 forward engine baffle loose.,"cleaned threads, installed proper screw."
103811,right-hand engine number 1 rocker box cover gasket leaking.,replaced gasket with new silicone gasket.
103812,right-hand engine number 2 cylinder compression 15 out of 80 exhaust leak.,removed cylinder from engine. removed both exhaust and intake
103813,right-hand engine number 2 cylinder compression 15 out of 80 exhaust leak.,"reinstalled cylinder, torqued to specs. check dry valve clearance clearance with reference manual"
103814,number 4 intake leaking.,removed and replaced intake gasket.
103815,number 4 intake gasket leaking.,removed and replaced number 4 intake gasket.
103816,screw missing on aft number 4 cylinder engine baffle.,installed new screw and applicable washers on number 4 cylinder engine
103817,"crew requested start assist, left-hand engine would not start.",started left-hand engine for crew.
103818,"number 2, 3, and 4 intake gaskets leaking on left-hand engine.",removed and replaced intake gaskets.
103819,number 3 valve cover gasket leaking on left-hand engine.,removed and replaced number 3 valve cover gasket.
103820,"numbers 1, 2, and 3 valve cover gaskets leaking on right-hand engine.",removed and replaced valve cover gaskets.
103821,all rocker cover screws are loose.,tightened all screws.
103822,number 2 and number 4 cylinder intake gaskets leaking.,removed and replaced gaskets.
103823,number 2 and number 4 intake leaking.,removed and replaced gaskets.
103824,"number 3, 4 and 1 intakes are leaking.",replaced intake gaskets.
103825,number 3 rocker cover is leaking.,replaced rocker cover gasket.
103826,"left,hand engine number 3 intake gasket leaking.",removed and replaced gasket.
103827,"number 2 intake gasket leaking, right-hand engine.",removed and replaced gasket.
103828,"crack in engine baffle, above number 3 cylinder, right-hand engine.",stop drilled crack.
103829,left-hand engine cowl seal unsecured above number 4 cylinder.,secured cowl seal above number 4 cylinder.
103830,right-hand engine primer line chafing on number 2 intake tube.,removed and replaced tube. no damage noted on primer line
103831,"left,hand side baffling on number 3 cylinder cracked.",stop drilled crack.
103832,"baffle seal above number 4 cylinder, left-hand engine, has pulled rivet.",resecured baffle seal.
103833,screw missing in number 3 side baffle.,installed screw.
103834,"left,hand baffle plug needs to be replaced.",installed new plug.
103835,number 2 and number 3 intake gaskets leaking on left-hand engine.,removed and replaced gaskets.
103836,number 2 intake gasket leaking on right-hand engine.,removed and replaced with new gasket.
103837,loose rivets noted on right-hand side of carb airbox on left-hand engine,removed loose rivets and installed screws.
103838,number 1 cylinder baffling cracked by alternator belt.,stop drilled crack.
103839,oil cooler support bracket on cylinder number 4 cracked.,fabricated new bracket out of like material.
103840,number 2 intake leaking on right-hand engine.,replaced gasket.
103841,number 3 side baffle cracked on right-hand engine.,stop drilled crack.
103842,number 3 intake leaking on right-hand engine.,removed and replaced gasket.
103843,number 2 and 4 intakes leaking on left-hand engine.,removed and replaced intake gaskets.
103844,number 3 aft baffle cracked on right-hand engine.,"removed baffle, stop drilled crack, fabricated and installed"
103845,baffle repair performed on pd number 12 has rivets that are rubbing,"removed baffle, removed previously installed patch."
103846,number 1 forward baffle seal loose.,installed new pop rivet.
103847,number 4 rocker cover gasket leaking.,removed and replaced gasket.
103848,number 3 rear baffle screw loose.,removed oil filler tube to tighten screw. tightened screw
103849,number 3 intake gasket leaking.,replaced gasket.
103850,number 2 intake gasket leaking.,removed and replaced gasket.
103851,"baffle seal loose, forward of number 1 cylinder.",secured baffle seal.
103852,1 baffle plug worn.,replaced 1 plug.
103853,"right, hand baffle plug missing.",replaced plug.
103854,"right, hand baffle plug missing.",installed baffle plug doubler.
103855,right-hand forward baffle has a crack.,stop drilled crack.
103856,crack in right-hand aft engine baffle.,stop drilled crack.
103857,forward right-hand engine baffle seal needs to be resecured.,installed pop rivet.
103858,"left, hand baffle seal on cylinder number 2 has staple pulled through.",installed pop rivet.
103859,"during flare phase of landing, engine quit. attempted to restart",retrieved aircraft from runway.
103860,"during flare phase of landing, engine quit. attempted to restart",performed ground run of engine. tried to perform seasonal
103861,number 4 induction tube gasket leaking.,removed and replaced gasket.
103862,oil is leaking from top of right-hand engine cowling.,run up leak check good.
103863,oil is leaking from top of right-hand engine cowling.,inspected revealed 3 bolts on backbone leaking. cleaned all
103864,"right, hand side aft baffle seal rivet pulled through.",replaced rivet.
103865,crack noted by nutplate on number 1 cylinder baffle.,stop drilled crack.
103866,number 3 and number 4 intake gaskets leaking.,removed and replaced intake gaskets.
103867,"while performing go, around at d 37 on climbout, engine sputter",ran aircraft and performed ground run several times.
103868,number 3 and 4 rocker cover gaskets leaking.,removed and replaced gaskets.
103869,seal worn above air intake.,repaired seal.
103870,"left,hand engine number 4 intake gasket leaking.",removed and replaced left-hand engine intake gasket.
103871,left-hand engine aft left-hand baffle cracked.,inspected left-hand aft baffle crack previously complied with.
103872,"number 4 cylinder intake tube flange worn, left-hand engine.",removed and replaced intake tube flange.
103873,right-hand engine number 4 baffle cracked.,removed right-hand engine oil cooler from number 4 cylinder baffle. stop drilled
103874,number 4 intake gasket leaking on right-hand engine.,removed and replaced number 4 intake gasket on right-hand engine.
103875,"number 4 cylinder intake tube needs to be replaced, left-hand engine.",removed and replaced left-hand engine number 4 intake tube.
103876,number 2 intake leaking.,replaced cylinder number 2 intake gasket.
103877,number 4 cylinder aft baffle is cracked.,stop drilled crack.
103878,number 2 rocker cover gasket leaking.,replaced gasket.
103879,"number 1, 3, and 4 rocker cover screws loose.",tightened rocker cover screws.
103880,number 2 rocker cover leaking.,replaced number 2 rocker cover gasket.
103881,number 2 cylinder bottom engine baffle seal needs to be secured.,secured seal with pop rivet.
103882,"1, 2, and 3 rocker cover gaskets leaking.","removed, cleaned and replaced with new silicone gaskets."
103883,forward lower seal worn above intake filter housing.,installed rtv to worn areas.
103884,baffle screw missing above starter.,installed new baffle screw and washers.
103885,number 1 cylinder baffling cracked.,stop drilled crack.
103886,number 4 intake gasket leaking.,replaced gasket.
103887,number 4 rocker cover gasket leaking.,removed old gasket and installed new 1.
103888,crack extending beyond rivet on number 1 cylinder baffle.,"removed baffle, cleaned. inspected, found paint cracked."
103889,number 2 intake leaking on left-hand engine.,removed and replaced gasket.
103890,right-hand engine crankcase lifting eyebolt leaking oil.,leak check good.
103891,number 1 rocker cover leaking on right-hand engine.,removed and replaced gasket.
103892,number 2 and number 3 intakes leaking on right-hand engine.,removed and replaced gaskets.
103893,number 3 and 4 rocker covers leaking in left-hand engine.,removed and replaced gaskets.
103894,"baffle seal between cylinders 2 and 4 on right-hand engine, loose.",resecured baffle seal.
103895,right-hand engine crankcase lifting eyebolt leaking oil.,"cleaned area, removed bolt, cleaned and installed bolt"
103896,"2, 3, and 4 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
103897,number 1 side baffle bent.,straightened baffle.
103898,number 1 baffle bent.,"removed baffle, straightened baffle and reinstalled."
103899,some rocker cover screws loose.,tightened all rocker cover screws.
103900,number 2 and number 4 intake gaskets leaking.,removed and replaced intake gaskets.
103901,excessive free play noted between pilot and copilot yokes with aircraft,adjusted center turnbuckle on control column and adjusted
103902,bottom of oil cooler needs sealant replaced between cooler,installed sealant.
103903,intercylinder baffle tension wire chafing on number 1 cylinder oil return,put bend in baffle tensioner wire to avoid oil return lines
103904,both baffle buttons worn,installed new plugs
103905,"number 1 cylinder compression low, 25 pounds. coming from exhaust","ran aircraft, operations and leak check good"
103906,"number 1 cylinder compression low, 25 pounds. coming from exhaust","removed cylinder, found bent exhaust valve. installed removed cylinder, found bent exhaust valve."
103907,"front baffle seal needs rtv, above engine inlet.",installed rtv to seal.
103908,"number 4, 1 and 3 rocker covers leaking.",removed and replaced gaskets.
103909,left-hand engine number 4 cylinder baffle seal staple pulled through,replaced staple with pop rivet
103910,number 1 and number 3 rocker covers leaking,"removed, cleaned, installed new silicone gaskets"
103911,right-hand engine number 3 intake gasket leaking,removed and replaced number 3 intake gasket on right-hand engine
103912,excessive engine vibration on departure climbout. vibration,"ran aircraft, idle rpm and mixture and magneto checks good ran"
103913,cylinder number 2 and number 4 intake gaskets leaking,replaced cylinder number 2 and number 4 intake gaskets
103914,number 3 intake gasket leaking.,removed and replaced intake gasket.
103915,"number 1, 2, and 4 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
103916,number 1 cylinder bottom baffle seal rivet pulled through.,installed new pop rivet.
103917,"2, 3, and 4 rocker cover gaskets leaking.","removed old gaskets, cleaned and installed new silicone gaskets"
103918,number 4 intake leaking on left-hand engine.,removed and replaced gasket.
103919,number 3 rocker cover leaking on right-hand engine.,replaced rocker cover gasket.
103920,number 3 cylinder top baffling has a crack.,stop drilled crack.
103921,number 2 and number 4 ignition top leads need to be secured.,secured leads.
103922,number 2 intake gasket leaking.,removed and replaced number 2 intake gasket.
103923,number 1 and number 2 intake gaskets leaking.,removed and replaced gaskets.
103924,number 2 intake leaking.,removed and replaced intake gasket.
103925,number 2 forward side baffle seal disconnected.,reattached using pop rivets.
103926,"missing screw on engine baffle aft and next to cylinder number 3, screw mount",installed screw.
103927,right-hand engine number 2 intake gasket leaking.,replaced gasket.
103928,left-hand engine number 2 and number 4 rocker gaskets are leaking.,removed and replaced gaskets.
103929,"left-hand engine number 2, 3, and 4 intake gaskets are leaking.",removed and replaced gaskets.
103930,right-hand engine number 3 and number 4 rocker gaskets are leaking.,removed and replaced gaskets.
103931,"left,hand engine intake screen worn.",ordered part.
103932,"left,hand engine intake screen worn.",installed new screen.
103933,number 2 induction tube gasket leaking.,installed new intake gasket.
103934,intake gasket cylinder number 1 leaking.,removed and replaced intake gasket.
103935,experienced engine roughness and momentary power hesitation.,performed engine run up and noted excessive rpm rise at idle
103936,experienced engine roughness and momentary power hesitation.,reinstalled cowling and performed engine run noting idle speed
103937,right-hand engine number 2 intake is leaking.,removed and replaced right-hand engine number 2 intake gasket.
103938,right-hand engine number 1 rocker cover is leaking.,removed and replaced right-hand engine number 1 rocker cover gasket.
103939,cylinder number 2 intake gasket is leaking.,removed and replaced gasket with new.
