ident,text,items,faults,actions
102971,number 3 rocker cover is leaking oil . removed and replaced number 3 rocker cover gasket .,rocker cover; oil; rocker cover gasket,leaking,removed; replaced
102972,hardware missing on number 3 rocker cover . installed new hardware .,hardware; rocker cover; new hardware,missing,installed
102973,number 2 intake gasket leaking . replaced gasket .,intake gasket; gasket,leaking,replaced
102974,number 3 and 4 rocker covers leaking . removed and replaced number 3 and 4 rocker gaskets .,rocker covers; rocker gaskets,leaking,removed; replaced
102975,number 1 cylinder engine baffle is cracked . stop drilled crack .,cylinder; cylinder engine; engine; baffle,cracked; crack,stop drilled
102976,number 3 aft baffle tab loose . started removing right-hand aft engine baffle .,baffle tab; engine; baffle,loose,started removing
102977,number 4 intake tube gasket is leaking . installed new number 4 intake tube gasket .,intake tube gasket,leaking,installed
102978,number 3 aft baffle tab loose . installed new screws and nuts on baffle tab . reinstalled,baffle tab; screws; nuts,loose,installed; reinstalled
102979,number 3 and 4 rocker box cover gaskets leaking . installed new rocker box cover gaskets .,rocker box cover gaskets,leaking,installed
102980,upper engine cowl needs chafe tape . installed chafe tape as required .,engine; cowl; chafe tape,,installed
102981,left-hand baffle button plug needs to be replaced . installed new baffle plug .,baffle button plug; baffle plug,,replaced; installed
102982,"number 2 , 4 rocker cover gaskets leaking . removed and replaced rocker gaskets .",rocker cover gaskets; rocker gaskets,leaking,removed; replaced
102983,forward lower right-hand baffle seal needs replacement . installed new section of baffle material .,baffle seal; baffle material,,replacement; installed
102984,"right-hand engine number 2 , 3 and 4 cylinder rocker cover gaskets are leaking . removed and replaced rocker cover gaskets .",engine; cylinder; rocker cover gaskets,leaking,removed; replaced
102985,number 2 intake is leaking . removed and replaced intake gasket .,intake; intake gasket,leaking,removed; replaced
102986,number 2 and 3 rocker covers are leaking . removed and replaced number 2 and 3 cylinder rocker cover gaskets .,rocker covers; cylinder; rocker cover gaskets,leaking,removed; replaced
102987,number 2 and 4 intercylinder baffle connecting rod broken . removed and replaced baffle connecting rod .,intercylinder baffle connecting rod; baffle connecting rod,broken,removed; replaced
102988,lower clamps loose on right-hand engine number 4 intake . resecured clamps .,clamps; engine; intake,loose,resecured
102989,number 4 intake leaking on left-hand engine . removed and replaced intake gaskets .,intake; engine; intake gaskets,leaking,removed; replaced
102990,number 2 and 3 rocker covers leaking on left-hand engine . removed and replaced rocker cover gaskets .,rocker covers; engine; rocker cover gaskets,leaking,removed; replaced
102991,oil filler tube loose . tightened oil filler tube .,oil filler tube,loose,tightened
102992,forward left-hand baffle needs to be secured . secured baffle .,baffle,,secured
102993,number 4 intake leaking . removed and replaced number 4 cylinder intake gasket .,intake; cylinder; intake gasket,leaking,removed; replaced
102994,forward adel clamp on number 3 cylinder loose and rubbing on push rod tube . removed and replaced forward adel clamp on number 3 cylinder push rod tu,adel clamp; cylinder; push rod tube,loose; rubbing,removed; replaced
102995,number 2 intake is leaking . removed and replaced gasket .,intake; gasket,leaking,removed; replaced
102996,number 4 rocker cover gasket leaking . removed and replaced number 4 rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
102997,left-hand engine number 2 cylinder intake gasket is leaking . replaced gasket .,engine; cylinder; intake gasket; gasket,leaking,replaced
102998,right-hand engine number 3 cylinder rocker cover is missing a screw . replaced screw .,engine; cylinder; rocker cover; screw,missing,replaced
102999,number 2 cylinder intake leaking . removed and replaced gasket .,cylinder; intake; gasket,leaking,removed; replaced
103000,number 2 cylinder rocker cover gasket leaking . removed and replaced gasket .,cylinder; rocker cover gasket; gasket,leaking,removed; replaced
103001,upper cowling needs small piece of chafe tape . installed tape .,cowling; chafe tape; tape,,installed
103002,"left-hand upper engine baffling on engine , worn seal support . secured seal .",engine; seal support; seal,worn,secured
103003,"between number 2 and 4 cylinder , spiral wrap melted . removed plastic , recontoured line out of way .",cylinder; spiral wrap; plastic; line,melted; out of way,removed; recontoured
103004,number 2 cylinder rocker cover leaking . removed and replaced rocker cover gasket .,cylinder; rocker cover; rocker cover gasket,leaking,removed; replaced
103005,number 3 cylinder rocker cover bottom screw needs swapped with aft baffle . swapped screws .,cylinder; screw; baffle; screws,,swapped
103006,number 2 and 3 rocker cover gaskets leaking . removed and replaced gaskets .,rocker cover gaskets; gaskets,leaking,removed; replaced
103007,number 3 cylinder baffling missing spark plug access plug . installed new spark plug access plug .,cylinder; baffling; spark plug access plug,missing,installed
103008,crack noted on top of number 2 cylinder baffling . crack previously stop drilled . no further defects noted,cylinder baffling,crack,stop drilled
103009,right-hand engine forward baffle loose . reattached baffle .,engine; baffle,loose,reattached
103010,number 3 aft baffle cracked . installed patch made of like material .,baffle; patch; like material,cracked,installed
103011,number 2 intake gasket leaking . removed and replaced gasket .,intake gasket; gasket,leaking,removed; replaced
103012,number 3 and 4 rocker cover gaskets leaking . removed and replaced gaskets .,rocker cover gaskets; gaskets,leaking,removed; replaced
103013,number 2 rocker cover gasket leaking . leak check good .,rocker cover gasket,leaking,leak check
103014,number 2 rocker cover gasket leaking . removed and replaced number 2 cylinder rocker cover gasket .,rocker cover gasket; cylinder,leaking,removed; replaced
103015,oil cooler requires time change . operations and leak check good .,oil cooler,,time change; operations; leak check
103016,oil cooler requires time change . removed and replaced oil cooler,oil cooler,,time change; removed; replaced
103017,engine requires time change . installed exhaust system . connected electrical wiring .,engine; exhaust system; electrical wiring,,time change; installed; connected
103018,engine requires time change . disconnected battery ground . removed exhaust system . di,engine; battery ground; exhaust system,,time change; disconnected; removed
103019,"engine requires time change . installed built up engine on mount , tor",engine,,time change; installed built up
103020,"engine requires time change . finished installing starter , vacuum pump , alternator , w",engine; starter; vacuum pump; alternator,,time change; finished installing
103021,"engine requires time change . removed baffling , oil line and quick drain from core engi",engine; baffling; oil line; core,,time change; removed
103022,number 2 intake is leaking . removed and replaced intake gasket .,intake; intake gasket,leaking,removed; replaced
103023,"on run up , idle rpm was at 720 . adjusted idle speed .",,,adjusted
103024,"on run up , idle rpm was at 720 . run up idle check good .",,,run up idle check
103025,cylinder number 3 rocker cover gasket leaking . removed and replaced cylinder number 3 rocker cover gasket .,cylinder; rocker cover gasket,leaking,removed; replaced
103026,number 3 intake gasket leaking . removed and replaced number 3 cylinder intake gasket .,intake gasket; cylinder,leaking,removed; replaced
103027,number 2 intake gasket leaking . removed and replaced number 2 cylinder intake gasket .,intake gasket; cylinder,leaking,removed; replaced
103028,number 2 cylinder rocker cover gasket leaking . removed and replaced gasket .,cylinder; rocker cover gasket; gasket,leaking,removed; replaced
103029,number 4 intake leaking . replaced gasket .,intake; gasket,leaking,replaced
103030,"engine rpm would fluctuate 200 - 250 rpm at hover . ran rough . ran up aircraft , no defects noted .",engine; aircraft,would fluctuate; ran rough,ran up
103031,both baffle plugs worn . removed and replaced baffle plugs .,baffle plugs,worn,removed; replaced
103032,number 4 intake gasket is leaking . replaced gasket .,intake gasket; gasket,leaking,replaced
103033,right-hand baffle plug missing fingers . installed new plug .,baffle plug; fingers; plug,missing,installed
103034,number 4 rocker cover gasket leaking . removed and replaced gasket .,rocker cover gasket; gasket,leaking,removed; replaced
103035,number 4 intake leaking . removed and replaced gasket .,intake; gasket,leaking,removed; replaced
103036,number 3 and 4 intake gaskets leaking . removed and replaced intake gaskets .,intake gaskets,leaking,removed; replaced
103037,number 2 rocker cover gasket leaking . removed and replaced rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
103038,"crack noted on inside of number 2 cylinder baffling , near rivet . stop drilled crack .",cylinder baffling; rivet,crack,stop drilled
103039,cylinder number 2 compression low . air noted and observed out of exhaust . performed compression on number 2 cylinder after run and noted 70 / 80,cylinder; exhaust,low; air noted,compression
103040,cylinder number 2 compression low . air noted and observed out of exhaust . performed run up after warming up engine and noted no def,cylinder; engine,low; air noted and observed out of exhaust,run up; warming up
103041,cylinder number 2 compression low . air noted and observed out of exhaust . staked exhaust and intake valves noting no improvement in,cylinder; exhaust; intake valves,low; air noted,staked
103042,number 2 and 3 rocker covers leaking . removed and replaced gaskets .,rocker covers; gaskets,leaking,removed; replaced
103043,number 2 rocker cover is leaking . removed and replaced cylinder number 2 rocker cover gasket .,rocker cover; cylinder; rocker cover gasket,leaking,removed; replaced
103044,"engine overspeed , 2750 - 2760 rpm for 3 - 4 seconds . researched fdm card data , found max rpm of 2739 . 8 ; whic",engine; fdm card data,overspeed,researched
103045,number 3 and 4 rocker cover gaskets are leaking . removed and replaced number 3 and 4 cylinder rocker cover gaskets .,rocker cover gaskets; cylinder,leaking,removed; replaced
103046,number 4 intake gasket leaking . removed and replaced gasket .,intake gasket; gasket,leaking,removed; replaced
103047,sniffler valve dirty . cleaned sniffler valves .,sniffler valve; sniffler valves,dirty,cleaned
103048,"number 2 , 4 rocker cover gaskets leaking . replaced number 2 , 4 rocker cover gaskets .",rocker cover gaskets,leaking,replaced
103049,"number 2 , 3 , 4 rocker gaskets leaking . replaced gaskets , leak check good .",rocker gaskets; gaskets,leaking,replaced; leak check
103050,number 2 intake leaking . removed and replaced intake gasket .,intake; intake gasket,leaking,removed; replaced
103051,cylinder number 4 rocker cover gasket leaking . removed and replaced number 4 rocker cover gasket .,cylinder; rocker cover gasket,leaking,removed; replaced
103052,"number 4 intake is leaking , cylinder number 3 intake leaking , cylinder number 2 intake l . removed and replaced number 2 , 3 and 4 intake gaskets .",intake; cylinder; intake gaskets,leaking,removed; replaced
103053,"crack noted on lower rear position of number 4 cylinder baffle . stop drilled crack , no other defects noted at this time .",cylinder; baffle,crack,stop drilled
103054,"crack noted on inside of number 1 cylinder upper baffle , near rivet . stop drilled both ends of crack , no further defects not",cylinder; baffle; rivet,crack,stop drilled
103055,all rocker cover screws are loose . tightened all covers .,rocker cover screws; covers,loose,tightened
103056,all cylinder drain line b nuts are loose . tightened all b nuts .,cylinder drain line b nuts; b nuts,loose,tightened
103057,"spring wire for inboard left-hand side engine , broken . replaced spring wire .",spring wire; engine,broken,replaced
103058,both baffle plugs worn . removed and replaced baffle plugs .,baffle plugs,worn,removed; replaced
103059,number 2 and 4 rocker covers leaking . replaced gaskets .,rocker covers; gaskets,leaking,replaced
103060,baffle plugs worn . replaced with new ones .,baffle plugs; ones,worn,replaced
103061,number 2 intake is leaking . removed and replaced gasket .,intake; gasket,leaking,removed; replaced
103062,number 3 intake leaking . removed and replaced number 3 cylinder intake gasket .,intake; cylinder; intake gasket,leaking,removed; replaced
103063,number 4 induction tube gasket leaking . installed new number 4 induction tube gasket .,induction tube gasket,leaking,installed
103064,engine right-hand rear baffle support bracket loose . removed right-hand rear baffle . installed new screws and nuts . r,engine; baffle support bracket; baffle; screws; nuts,loose,removed; installed
103065,bottom right-hand baffle tie down unsecured from baffle . installed new tie rod .,baffle tie; baffle; tie rod,,installed
103066,right-hand fuel top engine baffle seal needs to be secured . resecured baffle seal .,fuel; engine; baffle seal,,secured; resecured
103067,number 2 and 3 intake gasket leaking . removed and replaced intake gaskets .,intake gasket; intake gaskets,leaking,removed; replaced
103068,number 2 and 3 rocker cover gaskets leaking . removed and replaced rocker cover gaskets .,rocker cover gaskets,leaking,removed; replaced
103069,number 1 cylinder baffle crack noted by cylinder head screw plate . stop drilled crack and installed doubler plate to number 1 cylinder,cylinder; baffle; screw plate; doubler plate,crack,stop drilled; installed
103070,number 4 intake leaking . replaced gasket .,intake; gasket,leaking,replaced
103071,lower baffling seal is chafing air filter box cam lock nutpl . installed rtv in areas .,baffling seal; air filter box; air filter box cam lock nutpl; cam lock nutpl; rtv,chafing,installed
103072,small fod on top of number 3 cylinder . removed fod on top of no . 3 cylinder,fod; cylinder,,removed
103073,number 2 and 4 intake gaskets leaking . removed and replaced number 2 and 4 cylinder intake gaskets .,intake gaskets; cylinder,leaking,removed; replaced
103074,"right-hand engine foam seal loose on bulkhead , behind engine inlet . resecured right-hand engine foam seal .",engine; foam seal; bulkhead; engine inlet,loose,resecured
103075,left-hand rear engine baffle access hole worn . install access hole doubler in accordance with,engine; baffle access hole; access hole doubler,worn,install
103076,number 4 intake gasket leaking . removed and replaced intake gasket .,intake gasket,leaking,removed; replaced
103077,number 3 rocker cover gasket leaking . removed and replaced number 3 cylinder rocker cover gasket .,rocker cover gasket; cylinder,leaking,removed; replaced
103078,"oil present on engine , right-hand side . oil sprayed below and aft . found number 4 rocker cover gasket leaking . removed and replace",oil; engine; rocker cover gasket,sprayed; leaking,removed; replace
103079,"on taxi , engine ran rough from 800 to 1400 rpm . leaning mixt . ran up aircraft and leaned out to clean plugs . operations check ok .",engine; aircraft; plugs,ran rough,ran up; leaned; clean; operations check
103080,number 4 cylinder intake leaks . replaced gasket .,cylinder; intake; gasket,leaks,replaced
103081,front baffle seal worn by engine inlet and edges . installed rtv in worn areas .,baffle seal; engine; inlet; edges; rtv,worn,installed
103082,"number 1 , 2 , 3 and 4 oil return lines leaking . tightened oil return line clamps .",oil return lines; oil return line; clamps,leaking,tightened
103083,number 3 intake leaking . removed and replaced intake gasket .,intake; intake gasket,leaking,removed; replaced
103084,number 2 rocker cover leaking . removed and replaced number 2 rocker gasket .,rocker cover; rocker gasket,leaking,removed; replaced
103085,number 1 rocker gasket leaking . replaced with new gasket . leak check good .,rocker gasket; gasket,leaking,replaced; leak check
103086,number 1 intake gasket is leaking . replaced with new gasket . leak check good .,intake gasket; gasket,leaking,replaced; leak check
103087,number 2 and 4 intakes leaking . removed and replaced intake gaskets .,intakes; intake gaskets,leaking,removed; replaced
103088,"number 2 , 3 and 4 intake gaskets leaking . removed and replaced intake gaskets .",intake gaskets,leaking,removed; replaced
103089,number 2 and 4 rocker covers missing hardware . installed screws onto rocker covers .,rocker covers; hardware; screws,missing,installed
103090,"crack noted on inside of number 1 cylinder baffle , by screw plate . stop drilled crack .",cylinder; baffle; screw plate,crack,stop drilled
103091,number 1 and 2 rocker cover gaskets leaking . removed and replaced rocker cover gaskets .,rocker cover gaskets,leaking,removed; replaced
103092,crack noted on engine baffle near aft alternator attach bolt . stop drilled crack .,engine; baffle; alternator; attach bolt,crack,stop drilled
103093,left-hand side cowl seal coming loose . resecured cowl seal .,cowl seal,loose; coming loose,resecured
103094,"number 3 and 4 intake gaskets leaking . replaced both gaskets , leak check good .",intake gaskets; gaskets,leaking,replaced; leak check
103095,all rocker gaskets are leaking . replaced all rocker gaskets . leak check good .,rocker gaskets,leaking,replaced; leak check
103096,number 4 intake gasket leaking . removed and replaced intake gasket .,intake gasket,leaking,removed; replaced
103097,number 3 cylinder intake gasket is leaking . removed and replaced gasket .,cylinder; intake gasket; gasket,leaking,removed; replaced
103098,number 2 and 4 cylinder intake gaskets leaking . replaced gaskets .,cylinder; intake gaskets; gaskets,leaking,replaced
103099,"vacuum pump cooling duct chafing oil cooler line . no damaged noted , applied silicone as buffer .",vacuum pump cooling duct; oil cooler line; silicone,chafing,applied
103100,number 3 aft baffle cracked on right-hand engine . stop drilled crack .,baffle; engine,cracked; crack,stop drilled
103101,right-hand engine number 2 and 3 intakes leaking . removed and replaced intake gaskets .,engine; intakes; intake gaskets,leaking,removed; replaced
103102,"left-hand engine number 2 , 3 , 4 intakes leaking . removed and replaced intakes gaskets .",engine; intakes; intakes gaskets,leaking,removed; replaced
103103,"right-hand engine number 4 , 2 , 3 rocker covers leaking . removed and replaced rocker cover gaskets .",engine; rocker covers; rocker cover gaskets,leaking,removed; replaced
103104,"intake gasket , cylinder number 2 , leaking . removed and replaced intake gasket .",intake gasket; cylinder,leaking,removed; replaced
103105,"during takeoff roll , advanced throttle to full power ; rpm w . ran up aircraft , unable to duplicate discrepancy . operations check ok .",throttle; aircraft,,ran up; operations check
103106,forward baffle seals have worn spots . no damaged noted . applied silicone to seal as buffer .,baffle seals; silicone; seal,worn,applied
103107,right-hand engine number 4 intake gasket leaking . removed and replaced intake gasket .,engine; intake gasket,leaking,removed; replaced
103108,number 2 and 4 intakes leaking on left-hand engine . removed and replaced intake gaskets .,intakes; engine; intake gaskets,leaking,removed; replaced
103109,right-hand number 4 rocker gasket is leaking . removed and replaced rocker cover gasket .,rocker gasket; rocker cover gasket,leaking,removed; replaced
103110,number 4 rocker cover is leaking on left-hand engine . removed and replaced rocker cover gasket .,rocker cover; engine; rocker cover gasket,leaking,removed; replaced
103111,number 2 and 3 induction pipes are leaking on left-hand engine . removed and replaced intake gaskets .,induction pipes; engine; intake gaskets,leaking,removed; replaced
103112,"engine running rough , number 2 cylinder egt low . ran aircraft , operations check good . borescoped cylinder , no defects fahrenheit",engine; cylinder; aircraft,low; running rough,ran; operations check; borescoped
103113,engine problem . drove to site with trailer . loaded helicopter and returned,engine; trailer; helicopter,,
103114,engine started running rough and backfiring . both power reduc . began performing lycoming .,engine,started running rough; backfiring; power reduc,began performing
103115,"engine started running rough and backfiring . both power reduc . completed lycoming , found number 1 , 4 exhaust guides",engine; exhaust guides,started running rough; backfiring; power reduc,completed
103116,"engine started running rough and backfiring . both power reduc . completed reassembly . ran up aircraft , operations check good .",engine; aircraft,started running rough; backfiring; power reduc,completed reassembly; ran up; operations check
103117,rough engine with oil leak . for billing purposes only,engine,rough; oil leak,
103118,rough engine with oil leak . installed overhaul feet ed oil cooler . reinstalled exhau,engine; oil cooler,rough; oil leak,installed; reinstalled
103119,rough engine with oil leak . performed operational and leak check . adjust idle mixture . n,engine,rough; oil leak,operational; leak check; adjust
103120,rough engine with oil leak . received customer supplied engine . cleaned and inspected engine,engine,rough; oil leak,cleaned; inspected
103121,rough engine with oil leak . removed defective engine from aircraft . installed factory o /,engine; defective engine; aircraft; factory,rough; oil leak,removed; installed
103122,cylinder number 3 and 4 intake gaskets leaking . removed and replaced intake gaskets .,cylinder; intake gaskets,leaking,removed; replaced
103123,"near idle , engine was a little rough . at stop for run up , rp . started engine , warmed to operating temps . engine idle",engine,little rough,started; warmed
103124,forward engine baffle seal above vacuum pump torn . part on order .,engine; baffle seal; vacuum pump; part,torn,
103125,forward engine plugs safety wire loose and chafing through . resafetied plugs .,engine; plugs; plugs safety; plugs safety wire; safety wire,loose; chafing through,resafetied
103126,forward engine baffle seal above vacuum pump torn . removed and replaced forward engine baffle seal above vacuum pum,engine; baffle seal; vacuum pump; vacuum pum,torn,removed; replaced
103127,"screw missing at number 3 cylinder baffle . found screw on lower baffle , replaced screw .",screw; cylinder; baffle,missing,found; replaced
103128,"number 2 and 3 rocker cover gaskets leaking , left-hand engine . removed and replaced rocker cover gaskets .",rocker cover gaskets; engine,leaking,removed; replaced
103129,"baffle seal above air filter box , chafed . applied silicone to area where needed . no damage noted .",baffle seal; air filter box; silicone,chafed,applied
103130,number 2 intake tube gasket leaking . removed and replaced intake gasket .,intake tube gasket; intake gasket,leaking,removed; replaced
103131,number 2 intake gasket leaking . removed and replaced number 2 intake gasket .,intake gasket,leaking,removed; replaced
103132,number 2 and 3 cylinder rocker covers leaking . removed and replaced rocker cover gaskets .,cylinder; rocker covers; rocker cover gaskets,leaking,removed; replaced
103133,number 2 cht fitting needs to be replaced . replaced cht fitting .,cht fitting,,replaced
103134,number 4 intake leaking . replaced gasket .,intake; gasket,leaking,replaced
103135,"forward baffle seals on engine , wear marks against air filter . rtv ' ed areas .",baffle seals; engine; air filter,wear marks,rtv ' ed
103136,number 2 cylinder intake gasket leaking . removed and replaced gasket .,cylinder; intake gasket; gasket,leaking,removed; replaced
103137,"number 3 , 4 and 1 intakes leaking . removed and replaced gaskets .",intakes; gaskets,leaking,removed; replaced
103138,number 3 rocker drain line chafing . installed chafe wrap onto rocker drain line . no damage,rocker drain line; chafe wrap,chafing,installed
103139,"accidentally oversped engine before pulling throttle back , e . evaluated data on fdm card and found engine overspeed to",engine; throttle; data; fdm card,accidentally oversped; oversped; overspeed,evaluated
103140,number 4 intake is leaking . removed and replaced intake gasket .,intake; intake gasket,leaking,removed; replaced
103141,engine baffle plugs are worn . removed and replaced baffle plugs .,engine; baffle plugs,worn,removed; replaced
103142,"number 1 , 2 and 3 rocker covers are leaking . removed and replaced rocker cover gaskets .",rocker covers; rocker cover gaskets,leaking,removed; replaced
103143,number 3 intake gasket leaking . removed and replaced gasket .,intake gasket; gasket,leaking,removed; replaced
103144,"lower intercylinder baffle spring on right-hand side of engine , bro . removed and replaced baffle spring .",intercylinder baffle spring; engine; baffle spring,,removed; replaced
103145,intakes number 1 and 2 leaking . removed and replaced intake gaskets .,intakes; intake gaskets,leaking,removed; replaced
103146,cylinder number 1 and 4 intake gaskets leaking . installed new number 1 and 4 intake gaskets .,cylinder; intake gaskets,leaking,installed
103147,cylinder number 2 intake gasket leaking . removed and replaced intake gasket .,cylinder; intake gasket,leaking,removed; replaced
103148,cylinder number 1 rocker cover gasket leaking . removed and replaced rocker cover gasket .,cylinder; rocker cover gasket,leaking,removed; replaced
103149,number 1 rocker drain line loose . tightened drain line .,rocker drain line; drain line,loose,tightened
103150,number 2 rocker cover leaking . removed and replaced number 2 rocker cover gasket .,rocker cover; rocker cover gasket,leaking,removed; replaced
103151,right-hand aft engine baffle mounting bracket loose . reattached mounting bracket to engine baffle .,engine; baffle mounting bracket; mounting bracket; baffle,loose,reattached
103152,bolt missing on number 3 cylinder side baffle . installed bolt where needed .,bolt; cylinder; baffle,missing,installed
103153,number 3 cylinder rocker cover gasket leaking . removed and replaced rocker cover gasket .,cylinder; rocker cover gasket,leaking,removed; replaced
103154,number 2 intake tube gasket leaking . removed and replaced intake gasket .,intake tube gasket; intake gasket,leaking,removed; replaced
103155,number 3 and 4 intake gaskets are leaking . replaced both gaskets .,intake gaskets; gaskets,leaking,replaced
103156,number 2 cylinder rocker drain line leaking at sump . tightened clamps on rocker drain line .,cylinder; rocker drain line; clamps,leaking,tightened
103157,egt / cht wire bundle mounting screw and ignition lead / oil cooler mou . tightened hardware on oil cooler .,egt / cht wire bundle mounting screw; hardware; oil cooler,,tightened
103158,"baffle screw has oversized washer , which is chafing number 3 cylinder r . removed washer and installed correct hardware to prevent",baffle screw; washer; cylinder,oversized; chafing,removed; installed
103159,"oil leak at crankcase bolts , used to mount fuel flow transdu . removed bolts , cleaned bolt holes , resealed bolts and tor",oil; crankcase bolts; fuel flow transdu; bolts; bolt holes,leak,removed; cleaned; resealed
103160,number 2 intake gasket leaking . removed and replaced intake gasket .,intake gasket,leaking,removed; replaced
103161,number 2 rocker cover gasket leaking . removed and replaced rocker cover gasket .,rocker cover gasket,leaking,removed; replaced
103162,number 2 and 4 intakes leaking . removed and replaced intake gaskets .,intakes; intake gaskets,leaking,removed; replaced
103163,"number 3 , 4 rocker covers leak . removed and replaced rocker cover gaskets .",rocker covers; rocker cover gaskets,leak,removed; replaced
103164,number 1 rocker box cover gasket leaking . installed new rocker box cover gasket .,rocker box cover gasket,leaking,installed
103165,"propeller flange run out check requested . performed test , run out below . 001",propeller flange,,run out check; test
103166,left number 1 intake leaking . replaced gasket .,intake; gasket,leaking,replaced
103167,"sheared off rivets on baffle bracket , behind number 3 cylinder . after baffle installation : reinstalled oil filler tube",rivets; baffle bracket; cylinder; oil filler tube,sheared,reinstalled
103168,"sheared off rivets on baffle bracket , behind number 3 cylinder . removed baffle , installed new rivets and reinstalled baff",rivets; baffle bracket; cylinder; baffle; baff,sheared; sheared off,removed; installed; reinstalled
103169,lower forward engine seal worn in area above engine inlet . installed rtv in worn areas .,engine; seal; engine inlet; inlet; rtv,worn,installed
103170,"number 3 and 4 cylinder were removed by off - site maintenance . number 4 piston pin bore damaged . received new piston , measur",cylinder; piston pin; piston,bore damaged; damaged,removed; received
103171,"number 3 and 4 cylinder were removed by off - site maintenance . fitted new exhaust valve to number 3 cylinder , fitted intake valve",cylinder; exhaust valve; intake valve,,removed; fitted
103172,"number 3 and 4 cylinder were removed by off - site maintenance . fitted new exhaust valve to number 4 cylinder , fitted intake valve",cylinder; exhaust valve; intake valve,,removed; fitted
103173,number 2 and 4 intakes leaking . removed and replaced intake gaskets .,intakes; intake gaskets,leaking,removed; replaced
103174,cylinder number 4 intake gasket leaking . removed and replaced number 4 intake gasket .,cylinder; intake gasket,leaking,removed; replaced
103175,front crankshaft oil seal leaking . leak check ok .,oil seal,leaking,leak check
103176,front crankshaft oil seal leaking . removed propeller and ring gear . removed front crankshaft oil,crankshaft; oil seal; propeller; ring gear,leaking,removed
103177,number 2 and 3 cylinder intake gaskets leaking . removed and replaced number 2 and 3 cylinder intake gaskets .,cylinder; intake gaskets,leaking,removed; replaced
103178,number 2 intake gasket leaking . removed and replaced number 2 intake gasket .,intake gasket,leaking,removed; replaced
103179,number 2 intake gasket leaking . replaced gasket .,intake gasket; gasket,leaking,replaced
103180,number 3 rocker cover gasket leaking . replaced gasket .,rocker cover gasket; gasket,leaking,replaced
103181,"zero compression on number 1 cylinder . leaking from exhaust valve , . replaced cylinder assembly with repaired cylinder , new piston , rin",cylinder; exhaust valve; cylinder assembly; piston,zero; leaking,replaced
103182,number 2 intake leaks . replaced gasket .,intake; gasket,leaks,replaced
103183,need 2 new baffle buttons . installed both buttons .,baffle buttons; buttons,,installed
103184,lower forward engine cowl seal wearing on engine intake . installed rtv in worn areas .,engine; cowl seal; intake; rtv,worn; wearing,installed
103185,number 2 intake gasket leaking . removed and replaced number 2 intake gasket .,intake gasket,leaking,removed; replaced
103186,number 1 intake gasket leaking . replaced gasket .,intake gasket; gasket,leaking,replaced
103187,number 1 cylinder outer baffling cracked by nutplate . stop drilled crack .,cylinder; baffling; nutplate,cracked; crack,stop drilled
103188,number 2 and 3 intake gaskets leaking . removed and replaced intake gaskets .,intake gaskets,leaking,removed; replaced
103189,"bottom baffle on number 1 cylinder , chafing on cylinder fins . removed baffle , fabricated and installed new baffle .",baffle; cylinder; cylinder fins,chafing,removed; fabricated; installed
103190,number 4 cylinder bottom baffle cracked / chafing on cylinder fins . removed old baffle . fabricated new baffle and installed .,cylinder; baffle; cylinder fins,cracked; chafing,removed; fabricated; installed
103191,all rocker cover screws are loose . tightened all screws .,rocker cover screws; screws,loose,tightened
103192,number 3 and 4 cylinder intake gaskets are leaking . removed and replaced gaskets .,cylinder; intake gaskets; gaskets,leaking,removed; replaced
103193,"while fogging number 2 cylinder , tip from sprayer nozzle came into cont . installed intercylinder baffle and hardware .",cylinder; tip; sprayer nozzle; intercylinder baffle; hardware,came into cont,fogging; installed
103194,"while fogging number 2 cylinder , tip from sprayer nozzle came into cont . removed necessary baffling , lines , tubes , hardware to fahrenheit",cylinder; tip; sprayer nozzle; necessary baffling; lines; tubes; hardware,came into cont,fogging; removed
103195,"while fogging number 2 cylinder , tip from sprayer nozzle came into cont . removed piston from rod . prepared new piston for insta",cylinder; tip; sprayer nozzle; piston; rod; new piston,came into cont,fogging; removed; prepared
103196,"while fogging number 2 cylinder , tip from sprayer nozzle came into cont . completed cylinder installation . installed rocker cover , injector",cylinder; tip; sprayer nozzle; rocker cover; injector,came into cont,fogging; installation; installed
103197,"while fogging number 2 cylinder , tip from sprayer nozzle came into cont . cylinder and piston replacement done in accordance with lycoming direct drive",cylinder; tip; sprayer nozzle; piston,came into cont,fogging; replacement
103198,1 baffle button worn . replaced button .,baffle button; button,worn,replaced
103199,engine forward lower seal wearing into upper intake air filter frame . installed rtv to areas .,engine; seal; intake air filter frame; rtv,wearing into,installed
103200,left-hand engine breather line kinked . replaced tube .,engine breather line; tube,kinked,replaced
103201,right-hand engine has oil leak at hoisting loop . leak check good .,engine; hoisting loop,oil leak,leak check
103202,"right-hand number 2 , 3 and 4 intake gaskets are leaking . leak check good .",intake gaskets,leaking,leak check
103203,right-hand engine number 1 side baffle seal loose . secured baffle seal .,engine; baffle seal,loose,secured
103204,number 2 and 4 intake gaskets leaking on left-hand engine . leak check good .,intake gaskets; engine,leaking,leak check
103205,"number 1 , 3 and 4 rocker cover gasket leaking on left-hand engine . leak check good .",rocker cover gasket; engine,leaking,leak check
103206,"right-hand number 2 , 3 and 4 intake gaskets are leaking . removed and replaced intake gaskets .",intake gaskets,leaking,removed; replaced
