ID,PROBLEM,ACTION,CLEANED,EDIT
103581,LEFT ENGINE BLEED AIR LINE CHAFING.,REPOSITIONED LINE.,LEFT ENGINE BLEED AIR LINE CHAFING. REPOSITIONED LINE.,
103582,L/H AFT COWL I/B ACCESS PANEL SCREW STRIPPED.,REMOVED SCREW & REPLACED W/ NEW.,LEFT-HAND AFT COWL INBOARD ACCESS PANEL SCREW STRIPPED. REMOVED SCREW AND REPLACED WITH NEW.,
103583,L/H ENGINE REPORTED AS SMOKING AFTER SHUT DOWN.,"INSPECTED PURGE SYSTEM, CK'ED OK.","LEFT-HAND ENGINE REPORTED AS SMOKING AFTER SHUTDOWN. INSPECTED PURGE SYSTEM, CHECKED OK.",
103584,#1 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER ONE AND NUMBER FOUR INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103585,#2 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER THREE ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
103586,#1 & 2 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER ONE AND NUMBER TWO INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103587,R/H ENGINE ROUGH DURING TAXI.,RAN A/C & CONFIRMED DISCREP. INSPECTED #3 CYL W/ BORESC,RIGHT-HAND ENGINE ROUGH DURING TAXI. RAN AIRCRAFT AND CONFIRMED DISCREPANCY. INSPECTED NUMBER THREE CYLINDER WITH BORESCOPE,CUTOFF - C
103588,CYL #1 ROCKER GASKET LEAKING.,REMOVED & REPLACED GASKET.,CYLINDER NUMBER ONE ROCKER GASKET LEAKING. REMOVED AND REPLACED GASKET.,
103589,#1 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER ONE INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103590,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER ONE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
103591,START ASSIST.,STARTED A/C FOR PILOT.,START ASSIST. STARTED AIRCRAFT FOR PILOT.,
103592,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REPLACED GASKET.,
103593,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED WITH NEW GASKET.,
103594,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE LEAKING. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,
103595,#2 INTAKE LEAKS.,REMOVED & REPLACED W/ NEW INTAKE GASKET.,NUMBER TWO INTAKE LEAKS. REMOVED AND REPLACED WITH NEW INTAKE GASKET.,
103596,#2 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER TWO AND NUMBER FOUR INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103597,#3 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,NUMBER THREE AND NUMBER FOUR ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
103598,L/H ENGINE BAFFLE CRACKED.,FABRICATED PATCH FOR SIDE BAFFLE. DRILLED & RIVETED PAT,LEFT-HAND ENGINE BAFFLE CRACKED. FABRICATED PATCH FOR SIDE BAFFLE. DRILLED AND RIVETED PATCH,CUTOFF - C
103599,R/H #3 ROCKER COVER LEAKING.,"REMOVED, CLEANED & INSTALLED NEW GASKET.","RIGHT-HAND NUMBER THREE ROCKER COVER LEAKING. REMOVED, CLEANED AND INSTALLED NEW GASKET.",
103600,R/H ENGINE #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,RIGHT-HAND ENGINE NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED WITH NEW GASKET.,
103601,"L/H ENGINE #2, 3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS W/ NEW.,"LEFT-HAND ENGINE NUMBERS TWO, THREE, AND FOUR INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS WITH NEW.",
103602,#2 INTAKE GASKET LEAKING.,INSTALLED NEW #2 INTAKE GASKET.,NUMBER TWO INTAKE GASKET LEAKING. INSTALLED NEW NUMBER TWO INTAKE GASKET.,
103603,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED GASKET.,
103604,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103605,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,LEFT-HAND ENGINE NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
103606,L/H ENG #4 CYL SIDE BAFFLE IS MISSING A BOLT.,INSTALLED NEW HARDWARE.,LEFT-HAND ENGINE NUMBER FOUR CYLINDER SIDE BAFFLE IS MISSING A BOLT. INSTALLED NEW HARDWARE.,
103607,R/H ENG #4 CYL ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER FOUR CYLINDER ROCKER COVER GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
103608,L/H ENG #2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,LEFT-HAND ENGINE NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED GASKETS.,
103609,#3 ROCKER COVER GASKET LEAKING.,"REMOVED, CLEANED & INSTALLED NEW GASKET.","NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED, CLEANED AND INSTALLED NEW GASKET.",
103610,"COWL SEAL, ABOVE #3 CYL BAFFLE, FELL OFF RIVET.",REMOVED & REPLACED RIVET.,"COWL SEAL, ABOVE NUMBER THREE CYLINDER BAFFLE, FELL OFF RIVET. REMOVED AND REPLACED RIVET.",
103611,#3 INTAKE GASKET LEAKS ON L/H ENGINE.,"REMOVED, CLEANED & INSTALLED NEW GASKET.","NUMBER THREE INTAKE GASKET LEAKS ON LEFT-HAND ENGINE. REMOVED, CLEANED AND INSTALLED NEW GASKET.",
103612,#2 & 4 INTAKE GASKETS LEAKING ON R/H ENGINE.,REMOVED & REPLACED W/ NEW GASKETS.,NUMBER TWO AND NUMBER FOUR INTAKE GASKETS LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED WITH NEW GASKETS.,
103613,"R/H ENGINE, R/H FRONT ENGINE BAFFLE SEAL NEEDS TO BE RESECUR","RESECURED R/H ENGINE, R/H FRONT ENGINE BAFFLE SEAL.","RIGHT-HAND ENGINE, RIGHT-HAND FRONT ENGINE BAFFLE SEAL NEEDS TO BE RESECURED. RESECURED RIGHT-HAND ENGINE, RIGHT-HAND FRONT ENGINE BAFFLE SEAL.",CUTOFF - C
103614,"L/H #2, 3 & 4 INTAKE TUBE GASKETS LEAKING.","REPLACED L/H #2, 3, 4 INTAKE GASKETS.","LEFT-HAND NUMBERS TWO, THREE AND FOUR INTAKE TUBE GASKETS LEAKING. REPLACED LEFT-HAND NUMBERS TWO, THREE, AND FOUR INTAKE GASKETS.",
103615,BOTH BAFFLE PLUG TABS BROKEN OFF.,INSTALLED NEW PLUGS.,BOTH BAFFLE PLUG TABS BROKEN OFF. INSTALLED NEW PLUGS.,
103616,#2 & 4 CYL INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER TWO AND NUMBER FOUR CYLINDER INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103617,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,
103618,#4 CYLINDER HARNESS CLAMP BROKEN.,INSTALLED NEW CLAMP.,NUMBER FOUR CYLINDER HARNESS CLAMP BROKEN. INSTALLED NEW CLAMP.,
103619,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.,NUMBER THREE AND NUMBER FOUR ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED WITH NEW GASKETS.,
103620,"DEPARTING 17L @ 2450 LBS, DURING CLIMB OUT @ 2000' MSL, WERE","PERFORMD FULL GROUND RUN, NO DEFECTS NOTED. MX FLIGHT R","DEPARTING SEVENTEEN L AT TWENTY FOUR HUNDRED AND FIFTY POUNDS, DURING CLIMB OUT AT TWO THOUSAND FEET MSL. PERFORMED FULL GROUND RUN, NO DEFECTS NOTED. MAINTENANCE FLIGHT REQUIRED","CUTOFF - C, CUTOFF - T"
103621,#4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,NUMBER FOUR INTAKE GASKET IS LEAKING. REMOVED AND REPLACED WITH NEW GASKET.,
103622,SCREW MISSING ON #3 BAFFLE BRACKET.,FOUND SCREW & REINSTALLED.,SCREW MISSING ON NUMBER THREE BAFFLE BRACKET. FOUND SCREW AND REINSTALLED.,
103623,FOUND BROKEN COVER SCREW ON GROUND.,"REMOVED COWL, ALL SCREWS ACCOUNTED FOR. REPLACED COWL.","FOUND BROKEN COVER SCREW ON GROUND. REMOVED COWL, ALL SCREWS ACCOUNTED FOR. REPLACED COWL.",
103624,L/H FWD #2 ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT-HAND FORWARD NUMBER TWO ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,
103625,#1 & 2 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER ONE AND NUMBER TWO INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103626,#4 ROCKER GASKET LEAKING.,TIGHTENED LOOSE BOLTS.,NUMBER FOUR ROCKER GASKET LEAKING. TIGHTENED LOOSE BOLTS.,
103627,#2 CYL BAFFLE SEAL NEEDS TO BE SECURED.,RESECURED CYL #2 SIDE BAFFLE SEAL.,NUMBER TWO CYLINDER BAFFLE SEAL NEEDS TO BE SECURED. RESECURED CYLINDER NUMBER TWO SIDE BAFFLE SEAL.,
103628,#1 CYL FWD BAFFLE CRACKED.,STOP DRILLED CRACK.,NUMBER ONE CYLINDER FORWARD BAFFLE CRACKED. STOP DRILLED CRACK.,
103629,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
103630,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. #2 CYL C",OPS & LEAK CK'ED GOOD.,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. NUMBER TWO CYLINDER. OPERATIONS AND LEAK CHECKED GOOD.",CUTOFF - T
103631,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. #2 CYL C",REMOVED PUSH RODS & VALVE SPRING. FOUND STEP ON INTAKE,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE.. REMOVED PUSH RODS AND VALVE SPRING. FOUND STEP ON INTAKE VALVE","CUTOFF - C, CUTOFF - T"
103632,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. #2 CYL C",REPLACED CYLINDER W/ NEW CYL ASSY. TORQUED TO CASE. DRY,"ON POST RUN UP, FOUND ENGINE RUNNING ROUGH AT IDLE. REPLACED CYLINDER WITH NEW CYLINDER ASSEMBLY. TORQUED TO CASE.",CUTOFF - T
103633,"L/H ENG, L/H BAFFLE TIE ROD BROKEN.",REMOVED & REPLACED BROKEN BAFFLE TIE.,"LEFT-HAND ENGINE, LEFT-HAND BAFFLE TIE ROD BROKEN. REMOVED AND REPLACED BROKEN BAFFLE TIE.",
103634,CYL #3 PUSH ROD TUBE ADEL CLAMP HAS WORN RUBBER.,REMOVED & REPLACED ADEL CLAMP.,CYLINDER NUMBER THREE PUSH ROD TUBE ADEL CLAMP HAS WORN RUBBER. REMOVED AND REPLACED ADEL CLAMP.,
103635,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET.,NUMBER THREE INTAKE GASKET LEAKING. REMOVED AND REPLACED NUMBER THREE INTAKE GASKET.,
103636,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 CYL ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER FOUR CYLINDER ROCKER COVER GASKET.,
103637,"UPON RUN UP, ROUGH MAG & NOT W/IN TOLERANCE. RAN FOULED PROC",RAN A/C & FOUND R/H MAG TO HAVE ROUGH MAG DROP. REMOVED,"UPON RUN UP, ROUGH MAGNETO AND NOT WITHIN TOLERANCE. RAN FOULED PROCEDURE. RAN AIRCRAFT AND FOUND RIGHT-HAND MAGNETO TO HAVE ROUGH MAGNETO DROP. REMOVED",CUTOFF - C
103638,START ASSIST REQUIRED.,STARTED A/C USING NORMAL PROCEDURES.,START ASSIST REQUIRED. STARTED AIRCRAFT USING NORMAL PROCEDURES.,
103639,START ASSIST REQUIRED.,STARTED A/C USING NORMAL PROCEDURES.,START ASSIST REQUIRED. STARTED AIRCRAFT USING NORMAL PROCEDURES.,
103640,#4 INTAKE GASKET LEAKING.,"REMOVED, CLEANED & REPLACED W/ NEW GASKET.","NUMBER FOUR INTAKE GASKET LEAKING. REMOVED, CLEANED AND REPLACED WITH NEW GASKET.",
103641,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT-HAND REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,
103642,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,
103643,#2 & 4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
103644,"ENGINE BAFFLE CRACKED, ABOVE #1 CYL.",STOP DRILLED CRACK.,"ENGINE BAFFLE CRACKED, ABOVE NUMBER ONE CYLINDER. STOP DRILLED CRACK.",
103645,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
103646,CYL #2 & 4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,CYLINDER NUMBER TWO AND NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103647,ROCKER COVER GASKET CYL #3 & 4 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,ROCKER COVER GASKET CYLINDER NUMBER THREE AND NUMBER FOUR LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
103648,R/H BAFFLE SPRING BROKEN.,INSTALLED NEW BAFFLE SPRING.,RIGHT-HAND BAFFLE SPRING BROKEN. INSTALLED NEW BAFFLE SPRING.,
103649,#2 CYL INTAKE GASKET LEAKING.,REPLACED INTAKE GASKET.,NUMBER TWO CYLINDER INTAKE GASKET LEAKING. REPLACED INTAKE GASKET.,
103650,#1 CYL ROCKER COVER LEAKING.,REPLACED ROCKER COVER GASKET.,NUMBER ONE CYLINDER ROCKER COVER LEAKING. REPLACED ROCKER COVER GASKET.,
103651,R/H #3 INTAKE GASKET IS LEAKING.,REPLACED #3 INTAKE GASKET.,RIGHT-HAND NUMBER THREE INTAKE GASKET IS LEAKING. REPLACED NUMBER THREE INTAKE GASKET.,
103652,R/H #3 AFT BAFFLE SEAL HAS A HOLE.,REMOVED SEAL & INSTALLED NEW SEAL W/ POP RIVETS.,RIGHT-HAND NUMBER THREE AFT BAFFLE SEAL HAS A HOLE. REMOVED SEAL AND INSTALLED NEW SEAL WITH POP RIVETS.,
103653,CYL #3 BAFFLE SCREW LOOSE.,TIGHTENED #3 CYL BAFFLE SCREW.,CYLINDER NUMBER THREE BAFFLE SCREW LOOSE. TIGHTENED NUMBER THREE CYLINDER BAFFLE SCREW.,
103654,L/H ENG INTAKE 2 & 3 LEAKING.,REMOVED & REPLACED GASKETS.,LEFT-HAND ENGINE INTAKE TWO AND THREE LEAKING. REMOVED AND REPLACED GASKETS.,
103655,BAFFLE SEAL LOOSE ABOVE #4 CYL ON L/H ENGINE.,SECURED BAFFLE SEAL.,BAFFLE SEAL LOOSE ABOVE NUMBER FOUR CYLINDER ON LEFT-HAND ENGINE. SECURED BAFFLE SEAL.,
103656,OIL COOLERS DIRTY.,CLEANED FWD & AFT OIL COOLERS.,OIL COOLERS DIRTY. CLEANED FORWARD AND AFT OIL COOLERS.,
103657,SNIFFLER VALVES DIRTY.,"REMOVED, CLEANED & REINSTALLED BOTH SNIFFLER VALVES.","SNIFFLER VALVES DIRTY. REMOVED, CLEANED AND REINSTALLED BOTH SNIFFLER VALVES.",
103658,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET.,
103659,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER THREE INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103660,CRACK EXTENDING BEYOND STOP DRILL ON UPPER #2 CYL BAFFLE.,STOP DRILLED CRACK.,CRACK EXTENDING BEYOND STOP DRILL ON UPPER NUMBER TWO CYLINDER BAFFLE. STOP DRILLED CRACK.,
103661,#2 INTAKE GASKET LEAKING.,LEAK CK GOOD.,NUMBER TWO INTAKE GASKET LEAKING. LEAK CHECK GOOD.,
103662,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REPLACED GASKET.,
103663,#3 ROCKER COVER GASKET LEAKING.,LEAK CK GOOD.,NUMBER THREE ROCKER COVER GASKET LEAKING. LEAK CHECK GOOD.,
103664,#3 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,NUMBER THREE ROCKER COVER GASKET LEAKING. REPLACED GASKET.,
103665,#3 AFT BAFFLE SCREW APPEARS TO BE LOOSE BEHIND DIPSTICK TUBE,TIGHTENED SCREW.,NUMBER THREE AFT BAFFLE SCREW APPEARS TO BE LOOSE BEHIND DIPSTICK TUBE. TIGHTENED SCREW.,
103666,FWD LWR ENG SEAL WORN ABOVE AIR INTAKE.,FILLED IN WORN SPOTS W/ BLACK RTV.,FORWARD LOWER ENGINE SEAL WORN ABOVE AIR INTAKE. FILLED IN WORN SPOTS WITH BLACK RTV.,
103667,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER TWO INTAKE LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103668,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,CYLINDER NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103669,L/H ENG #2 BAFFLE LOOSE.,SECURED BAFFLE SECTION.,LEFT-HAND ENGINE NUMBER TWO BAFFLE LOOSE. SECURED BAFFLE SECTION.,
103670,"#1, 2, 4 ROCKER GASKETS LEAKING.","REMOVED, CLEANED & REPLACED W/ NEW GASKETS.","NUMBERS ONE, TWO, AND FOUR ROCKER GASKETS LEAKING. REMOVED, CLEANED AND REPLACED WITH NEW GASKETS.",
103671,"#2, 3, 4 INTAKE GASKETS LEAKING ON L/H ENG.",REMOVED & REPLACED INTAKE GASKETS.,"NUMBERS TWO, THREE, AND FOUR INTAKE GASKETS LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED INTAKE GASKETS.",
103672,#1 ROCKER COVER GASKET LEAKING ON R/H ENG.,REMOVED & REPLAED ROCKER COVER GASKET.,NUMBER ONE ROCKER COVER GASKET LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED ROCKER COVER GASKET.,
103673,#3 ROCKER COVER GASKET LEAKING ON L/H ENG.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER GASKET LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED ROCKER COVER GASKET.,
103674,#3 & 4 INTAKE GASKETS LEAKING ON R/H ENG.,REMOVED & REPLACED INTAKE GASKETS ON R/H ENGINE.,NUMBER THREE AND NUMBER FOUR INTAKE GASKETS LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED INTAKE GASKETS ON RIGHT-HAND ENGINE.,
103675,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER TWO INTAKE LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103676,#4 CYL ROCKER COVER IS MISSING SCREW.,INSTALLED NEW SCREW.,NUMBER FOUR CYLINDER ROCKER COVER IS MISSING SCREW. INSTALLED NEW SCREW.,
103677,R/H ENG #3 INTAKE TUBE GASKET LEAKING.,"REMOVED, CLEANED & REPLACED W/ NEW GASKET.","RIGHT-HAND ENGINE NUMBER THREE INTAKE TUBE GASKET LEAKING. REMOVED, CLEANED AND REPLACED WITH NEW GASKET.",
103678,"L/H ENG #2, 3 & 4 INTAKE TUBE GASKETS LEAKING.","REMOVED, CLEANED & REPLACED W/ NEW GASKETS.","LEFT-HAND ENGINE NUMBERS TWO, THREE AND FOUR INTAKE TUBE GASKETS LEAKING. REMOVED, CLEANED AND REPLACED WITH NEW GASKETS.",
103679,"L/H ENG #1, 2, 3 & 4 ROCKER BOX COVER GASKETS LEAKING.","REMOVED, CLEANED & REPLACED W/ NEW GASKETS.","LEFT-HAND ENGINE NUMBERS ONE, TWO, THREE AND FOUR ROCKER BOX COVER GASKETS LEAKING. REMOVED, CLEANED AND REPLACED WITH NEW GASKETS.",
103680,#3 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW ROCKER BOX COVER GASKET.,NUMBER THREE ROCKER BOX COVER GASKET LEAKING. INSTALLED NEW ROCKER BOX COVER GASKET.,
103681,#2 ROCKER GASKET LEAKING.,TIGHTENED BOLTS.,NUMBER TWO ROCKER GASKET LEAKING. TIGHTENED BOLTS.,
103682,#1 CYL ROCKER GASKET LEAKING.,REPLACED GASKET.,NUMBER ONE CYLINDER ROCKER GASKET LEAKING. REPLACED GASKET.,
103683,"#2, 4 CYLINDER INTERCOOLING BAFFLE WIRE NEEDS TO BE REPOSITI",REPOSITIONED WIRE IN NEW BAFFLE SLOT & APPLIED SPIRAL W,"NUMBER TWO, AND NUMBER FOUR CYLINDER INTERCOOLING BAFFLE WIRE NEEDS TO BE REPOSITIONED. REPOSITIONED WIRE IN NEW BAFFLE SLOT AND APPLIED SPIRAL WRAP",CUTOFF - C
103684,R/H ENG #3 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,RIGHT-HAND ENGINE NUMBER THREE AND NUMBER FOUR INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103685,#2 & 4 CYL INTAKES LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER TWO AND NUMBER FOUR CYLINDER INTAKES LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED INTAKE GASKETS.,
103686,BAFFLE PLUG OUT,INSTALLED PLUG,BAFFLE PLUG OUT. INSTALLED PLUG,
103687,SHORT DIPSTICK INSTALLED,REMOVED SHORT DIPSTICK AND INSTALLED LONG ONE,SHORT DIPSTICK INSTALLED. REMOVED SHORT DIPSTICK AND INSTALLED LONG ONE,
103688,FWD LWR SEAL ON BAFFLING WORN AT AIR INTAKE.,INSTALLED RTV TO AREAS.,FORWARD LOWER SEAL ON BAFFLING WORN AT AIR INTAKE. INSTALLED RTV TO AREAS.,
103689,L/H ENG ALL ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,LEFT-HAND ENGINE ALL ROCKER BOX COVER SCREWS LOOSE. TIGHTENED SCREWS.,
103690,L/H ENG #1 ROCKER COVER GASKET LEAKING.,REMOVED OLD GASKET & REPLACED W/ NEW.,LEFT-HAND ENGINE NUMBER ONE ROCKER COVER GASKET LEAKING. REMOVED OLD GASKET AND REPLACED WITH NEW.,
103691,L/H ENG #4 INTAKE GASKET LEAKING.,"REMOVED OLD GASKET, REPLACED W/ NEW GASKET.","LEFT-HAND ENGINE NUMBER FOUR INTAKE GASKET LEAKING. REMOVED OLD GASKET, REPLACED WITH NEW GASKET.",
103692,#4 INTAKE GASKET LEAKING.,INSTALLED NEW GASKET.,NUMBER FOUR INTAKE GASKET LEAKING. INSTALLED NEW GASKET.,
103693,BAFFLE PLUGS NEED TO BE REPLACED.,INSTALLED NEW BAFFLE PLUGS.,BAFFLE PLUGS NEED TO BE REPLACED. INSTALLED NEW BAFFLE PLUGS.,
103694,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",REMOVED PISTON & INJECTOR.,"NUMBER FOUR CYLINDER HAS LOW COMPRESSION, LEAKING NUMBER FOUR EXHAUST VALVE. REMOVED PISTON AND INJECTOR.",
103695,#2/4 BAFFLE CONNECT WIRE INSTALLED BELOW INTERCYLINDER BAFFL,REROUTED BAFFLE CONNECT WIRE.,NUMBER TWO AND NUMBER FOUR BAFFLE CONNECT WIRE INSTALLED BELOW INTERCYLINDER BAFFLE. REROUTED BAFFLE CONNECT WIRE.,"CUTOFF - C, PUNC - S"
103696,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",RAN ENGINE. OPS & LEAK CK GOOD.,"NUMBER FOUR CYLINDER HAS LOW COMPRESSION, LEAKING NUMBER FOUR EXHAUST VALVE. RAN ENGINE. OPERATIONS AND LEAK CHECK GOOD.",
103697,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",REMOVED CYL #4 & VERIFIED EXHAUST VALVE TO BE BURNT.,"NUMBER FOUR CYLINDER HAS LOW COMPRESSION, LEAKING NUMBER FOUR EXHAUST VALVE. REMOVED CYLINDER NUMBER FOUR AND VERIFIED EXHAUST VALVE TO BE BURNT.",
103698,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.","BEGAN CYLINDER REMOVAL, EXH STACK, INTAKE TUBE & BAFFLE","NUMBER FOUR CYLINDER HAS LOW COMPRESSION, LEAKING NUMBER FOUR EXHAUST VALVE. BEGAN CYLINDER REMOVAL, EXHAUST STACK, INTAKE TUBE AND BAFFLE",
103699,"#4 CYLINDER HAS LOW COMPRESSION, LEAKING #4 EXHAUST VALVE.",INSTALLED NEW CYL & PISTON KIT IAW LYCOM,"NUMBER FOUR CYLINDER HAS LOW COMPRESSION, LEAKING NUMBER FOUR EXHAUST VALVE. INSTALLED NEW CYLINDER AND PISTON KIT IN ACCORDANCE WITH LYCOMING",CUTOFF - C
103700,CYL #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,CYLINDER NUMBER THREE INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
