IDENT,raw,normalized,n_tokens,n_expansions
103732,ROCKER COVER GASKET CYL #2 LEAKING. REMOVED & REPLACED GASKET.,rocker cover gasket cylinder number 2 leaking. removed and replaced gasket.,12,3
103733,INTAKE GASKET CYL #4 LEAKING. REMOVED & REPLACED INTAKE GASKET.,intake gasket cylinder number 4 leaking. removed and replaced intake gasket.,12,3
103734,LEFT ENGINE LOWER FIRE SEAL LOOSE. REPLACED SEAL.,left engine lower fire seal loose. replaced seal.,10,0
103735,R/H ENG INTAKE SCREEN LOOSE. REPLACED R/H ENGINE INTAKE SCREEN.,right-hand engine intake screen loose. replaced right-hand engine intake screen.,12,3
103736,"1 FIRST STAGE COMPRESSOR BLADE HAS DAMAGE, NEAR TIP. INSPECTED & FOUND NICKED LEADING EDGE FIRST STAGE COMPR","1 first stage compressor blade has damage, near tip. inspected and found nicked leading edge first stage compr",20,1
103737,R/H ENG AFT BAFFLE SUPPORT BRACKET RIVETS ARE SHEARED. REMOVED BAFFLE. INSTALLED NEW RIVETS IAW,right-hand engine aft baffle support bracket rivets are sheared. removed baffle. installed new rivets in accordance with,17,3
103738,R/H ENG #3 INTAKE TUBE GASKET LEAKING. REPLACED GASKET.,right-hand engine number 3 intake tube gasket leaking. replaced gasket.,11,3
103739,R/H ENG #2 & 3 ROCKER BOX COVER GASKET LEAKING. REPLACED GASKETS.,right-hand engine number 2 and 3 rocker box cover gasket leaking. replaced gaskets.,14,4
103740,L/H ENG #2 & 4 INTAKE TUBE GASKETS LEAKING. REMOVED & REPLACED W/ NEW GASKETS.,left-hand engine number 2 and 4 intake tube gaskets leaking. removed and replaced with new gaskets.,17,6
103741,R/H ENG #2 & 4 ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS.,right-hand engine number 2 and 4 rocker cover gaskets leaking. removed and replaced rocker cover gaskets.,17,5
103742,"#1, 2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING. REMOVED & REPLACED W/ NEW GASKETS.","number 1, 2 and 4 cylinder rocker cover gaskets are leaking. removed and replaced with new gaskets.",19,5
103743,INTAKE GASKET CYL #4 LEAKING. REMOVED & REPLACED INTAKE GASKET.,intake gasket cylinder number 4 leaking. removed and replaced intake gasket.,12,3
103744,#1 CYL BAFFLE SEAL LOOSE. SECURED SEAL.,number 1 cylinder baffle seal loose. secured seal.,9,2
103745,"#1, 2 CYL ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED GASKETS.","number 1, 2 cylinder rocker cover gaskets leaking. removed and replaced gaskets.",14,3
103746,#2 INTAKE LEAKING. REMOVED & REPLACED INTAKE GASKET.,number 2 intake leaking. removed and replaced intake gasket.,10,2
103747,#2 & 4 ROCKER COVERS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS.,number 2 and 4 rocker covers leaking. removed and replaced rocker cover gaskets.,14,3
103748,#2 INTAKE GASKET LEAKING. REMOVED & REPLACED GASKET.,number 2 intake gasket leaking. removed and replaced gasket.,10,2
103749,#3 & 4 ROCKER GASKETS LEAKING. REMOVED & REPLACED GASKETS.,number 3 and 4 rocker gaskets leaking. removed and replaced gaskets.,12,3
103750,LEFT O/B BAFFLE TIE WIRE BROKEN. INSTALLED BAFFLE TIE LISTED IN  PARTS MANUAL. FOU,left outboard baffle tie wire broken. installed baffle tie listed in parts manual. fou,16,1
103751,INTAKES 3 & 4 LEAKING. REMOVED & REPLACED INTAKE GASKETS.,intakes 3 and 4 leaking. removed and replaced intake gaskets.,12,2
103752,"#3 EXHAUST VALVE LEAKING ON R/H ENGINE. RUN UP, OPS & LEAK CK OK.","number 3 exhaust valve leaking on right-hand engine. run up, operations and leak check ok.",17,5
103753,R/H ENG CYL #4 SIDE BAFFLE SEAL IS COMING LOOSE. RESECURED LOOSE SEAL.,right-hand engine cylinder number 4 side baffle seal is coming loose. resecured loose seal.,15,4
103754,R/H CYL #3 AFT BAFFLE IS CRACKED. FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,right-hand cylinder number 3 aft baffle is cracked. fabricated patch of like material and riveted in accordance with,16,5
103755,"#3 EXHAUST VALVE LEAKING ON R/H ENGINE. INSTALLED CYL ROCKERS, CYL BAFFLE, TORQUED SPARK PLUGS","number 3 exhaust valve leaking on right-hand engine. installed cylinder rockers, cylinder baffle, torqued spark plugs",18,4
103756,#3 EXHAUST VALVE LEAKING ON R/H ENGINE. TRIED TO STAKE VALVE W/ NO AFFECT. ROCKER COVER IS REMO,number 3 exhaust valve leaking on right-hand engine. tried to stake valve with no affect. rocker cover is remo,20,3
103757,#3 EXHAUST VALVE LEAKING ON R/H ENGINE. REMOVED & INSTALLED REPAIRED CYL ASSY. TORQUED MOUNTING,number 3 exhaust valve leaking on right-hand engine. removed and installed repaired cylinder assembly. torqued mounting,17,5
103758,"L/H ENG, L/H FWD BAFFLE SEAL IS LOOSE. RESECURED BAFFLE SEAL.","left-hand engine, left-hand forward baffle seal is loose. resecured baffle seal.",14,4
103759,INTAKE GASKET CYL #4 LEAKING. REMOVED & REPLACED INTAKE GASKET.,intake gasket cylinder number 4 leaking. removed and replaced intake gasket.,12,3
103760,L/H FWD ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,left-hand forward engine baffle cracked. stop drilled crack.,10,2
103761,L/H REAR ENGINE BAFFLE SUPPORT CRACKED. FABRICATED NEW BAFFLE SUPPORT OF LIKE MATERIAL & RIVETE,left-hand rear engine baffle support cracked. fabricated new baffle support of like material and rivete,16,2
103762,INTAKES #2 & 4 LEAKING ON R/H ENGINE. REMOVED & REPLACED INTAKE GASKETS.,intakes number 2 and 4 leaking on right-hand engine. removed and replaced intake gaskets.,15,4
103763,"R/H ENG #1 CYL HAS LOW COMPRESSIONS (55 PSI). STAKED EXHAUST VALVE, OPS CK GOOD ON COMPRESSIONS. REMO","right-hand engine number 1 cylinder has low compressions 55 psi. staked exhaust valve, operations check good on compressions. remo",23,6
103764,"#2, 3, 4 INTAKE GASKETS LEAKING. REMOVED & REPLACED INTAKE GASKETS.","number 2, 3, 4 intake gaskets leaking. removed and replaced intake gaskets.",15,2
103765,#4 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #4 ROCKER COVER GASKET.,number 4 rocker cover gasket leaking. removed and replaced number 4 rocker cover gasket.,14,3
103766,#4 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED GASKET.,number 4 rocker cover gasket leaking. removed and replaced gasket.,11,2
103767,#4 CYL INTAKE LEAKING. REMOVED & REPLACED INTAKE GASKET.,number 4 cylinder intake leaking. removed and replaced intake gasket.,11,3
103768,L/H ENG #1 & 4 ROCKER COVERS ARE LEAKING. REPLACED GASKETS.,left-hand engine number 1 and 4 rocker covers are leaking. replaced gaskets.,13,4
103769,"L/H & R/H ENG FIREWALLS NEED TO BE SEALED, WHERE ENG CONTROL. CLEANED FIREWALL ON BOTH ENGINES & APPLIED FIREWALL SEA","left-hand and right-hand engine firewalls need to be sealed, where engine control. cleaned firewall on both engines and applied firewall sea",23,6
103770,"R/H ENG, R/H BAFFLE TIE ROD IS RUBBING ON OIL RETURN LINE HO. MOVED R/H ENG BAFFLE TIE ROD OFF OF OIL RETURN LINE HOS","right-hand engine, right-hand baffle tie rod is rubbing on oil return line ho. moved right-hand engine baffle tie rod off of oil return line hos",27,5
103771,#3 INTAKE LEAKING ON R/H ENGINE. REMOVED & REPLACED #3 INTAKE GASKET.,number 3 intake leaking on right-hand engine. removed and replaced number 3 intake gasket.,14,4
103772,#2 INTAKE GASKET LEAKING. REPLACED INTAKE GASKET.,number 2 intake gasket leaking. replaced intake gasket.,9,1
103773,BOTH ENG BAFFLE PLUGS WORN. REPLACED PLUGS.,both engine baffle plugs worn. replaced plugs.,9,1
103774,"TOP BOLT ON CRANKCASE HAS OIL LEAK. REMOVED BOLT, APPLIED SEALANT TO BOLT & REINSTALLED BOL","top bolt on crankcase has oil leak. removed bolt, applied sealant to bolt and reinstalled bol",18,1
103775,FOD ON TOP OF ENGINE. REMOVED FOD FROM TOP OF ENGINE,fod on top of engine. removed fod from top of engine,12,0
103776,OIL COOLER BOLT BACKED OFF. TIGHTENED BOLT ON THE OIL COOLER,oil cooler bolt backed off. tightened bolt on the oil cooler,12,0
103777,#4 & 1 INTAKE GASKET LEAKING. REMOVED & REPLACED INTAKE GASKETS.,number 4 and 1 intake gasket leaking. removed and replaced intake gaskets.,13,3
103778,#2 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED #2 ROCKER COVER GASKET.,number 2 rocker cover gasket leaking. removed and replaced number 2 rocker cover gasket.,14,3
103779,"CRACKS NOTED EXTENDING FROM RIVET ON INSIDE OF #! CYL BAFFLE. STOP DRILLED CRACKS ON #1 CYL BAFFLE, ON INSIDE.","cracks noted extending from rivet on inside of number! cylinder baffle. stop drilled cracks on number 1 cylinder baffle, on inside.",24,4
103780,"ENGINE R/H REAR BAFFLE SUPPORT BRACKET LOOSE. REMOVED REAR BAFFLE, DRILLED OUT RIVETS ON BAFFLE SUPPO","engine right-hand rear baffle support bracket loose. removed rear baffle, drilled out rivets on baffle suppo",18,1
103781,#4 INTAKE LEAKING. REMOVED & REPLACED #4 INTAKE GASKET.,number 4 intake leaking. removed and replaced number 4 intake gasket.,11,3
103782,"DAMAGED GROMMET FOR OIL PRESSURE SWITCH WIRE HARNESS THROUGH. REMOVED & REPLACED GROMMET. INSPECTED WIRES FOR DAMAGE,","damaged grommet for oil pressure switch wire harness through. removed and replaced grommet. inspected wires for damage,",20,1
103783,"AFT L/H ENGINE BAFFLE CRACKED, TOP CORNER NEXT TO CYL #4. STOP DRILLED CRACK.","aft left-hand engine baffle cracked, top corner next to cylinder number 4. stop drilled crack.",17,3
103784,OIL COLLECTING ON BOTTOM OF L/H NACELLE. POOLING ON INTERIOR. INSPECTED. REPALCED O-RING ON ENGINE BREATHER FITTING.,oil collecting on bottom of left-hand nacelle. pooling on interior. inspected. replaced o - ring on engine breather fitting.,23,2
103785,"OIL COLLECTING ON BOTTOM OF L/H NACELLE. POOLING ON INTERIOR. ADDED, RAN, NO LEAKS OR SEEP FOUND. COWLED &","oil collecting on bottom of left-hand nacelle. pooling on interior. added, ran, no leaks or seep found. cowled and",24,2
103786,OIL COLLECTING ON BOTTOM OF L/H NACELLE. POOLING ON INTERIOR. REMOVED L/H LOWER NACELLE PANEL. BEGAN VISUAL INSP TO F,oil collecting on bottom of left-hand nacelle. pooling on interior. removed left-hand lower nacelle panel. began visual insp to fahrenheit,23,3
103787,START ASSIST ON L/H ENGINE. STARTED A/C FOR PILOT.,start assist on left-hand engine. started aircraft for pilot.,11,2
103788,"DURING CRUISE, RPM OVERSPED, HIGHEST NUMBER SEEN WAS 2740. N. ANALYZED FDM CARD DATA. FOUND TO BE MOMENTARY OVERSPEED","during cruise, rpm oversped, highest number seen was 2740. n. analyzed fdm card data. found to be momentary overspeed",24,0
103789,CREW WAS UNABLE TO START L/H ENGINE. GOT L/H ENGINE STARTED FOR CREW.,crew was unable to start left-hand engine. got left-hand engine started for crew.,15,2
103790,"START ASSIST, L/H ENGINE. STARTED L/H ENGINE FOR PILOT.","start assist, left-hand engine. started left-hand engine for pilot.",12,2
103791,"ENGINE IDLE SPEED AT 780 RPM. RAN UP A/C, UNABLE TO DUPLICATE DISCREPANCY. OPS CK GOO","engine idle speed at 780 rpm. ran up aircraft, unable to duplicate discrepancy. operations check goo",19,3
103792,#2 & 3 INTAKE GASKETS LEAKING ON R/H ENGINE. REMOVED & REPLACED GASKETS.,number 2 and 3 intake gaskets leaking on right-hand engine. removed and replaced gaskets.,15,4
103793,#2 & 3 CYLINDER ROCKER COVERS LEAKING. REMOVED & REPLACED ROCKER COVER GASKETS.,number 2 and 3 cylinder rocker covers leaking. removed and replaced rocker cover gaskets.,15,3
103794,R/H ENG #3 INTAKE GASKET LEAKING. REMOVED & REPLACED GASKET.,right-hand engine number 3 intake gasket leaking. removed and replaced gasket.,12,4
103795,ALL VALVE COVERS LOOSE. TIGHTENED ALL COVERS.,all valve covers loose. tightened all covers.,9,0
103796,"1 BAFFLE BUTTON WORN. REPLACED W/ NEW, R/H SIDE.","1 baffle button worn. replaced with new, right-hand side.",12,2
103797,#2 INTAKE GASKET LEAKING. REMOVED & REPLACED #2 INTAKE GASKET.,number 2 intake gasket leaking. removed and replaced number 2 intake gasket.,12,3
103798,#4 ROCKER COVER IS LEAKING. REMOVED & REPLACED GASKET.,number 4 rocker cover is leaking. removed and replaced gasket.,11,2
103799,"FWD BAFFLE SEAL WORN, BY AIR FILTER. APPLIED RTV TO WORN AREAS.","forward baffle seal worn, by air filter. applied rtv to worn areas.",15,1
103800,"L/H ENG, L/H REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.","left-hand engine, left-hand rear engine baffle cracked. stop drilled crack.",13,3
103801,R/H ENG #3 & 4 INTAKE GASKETS LEAKING. REMOVED & REPLACED GASKETS.,right-hand engine number 3 and 4 intake gaskets leaking. removed and replaced gaskets.,14,5
103802,L/H ENG #3 INTAKE LEAKING. REMOVED & REPLACED INTAKE GASKET.,left-hand engine number 3 intake leaking. removed and replaced intake gasket.,12,4
103803,"#2 & 3 ROCKER COVER GASKETS LEAKING, L/H ENGINE. REMOVED & REPLACED ROCKER COVER GASKETS.","number 2 and 3 rocker cover gaskets leaking, left-hand engine. removed and replaced rocker cover gaskets.",18,4
103804,#3 & 4 INTAKES LEAKING. REMOVED & REPLACED INTAKE GASKETS.,number 3 and 4 intakes leaking. removed and replaced intake gaskets.,12,3
103805,"OIL LEAK AT FRONT LOWER PORTION OF CRANKCASE, NEAR OIL SEAL. RAN ENGINE, LEAK CK GOOD.","oil leak at front lower portion of crankcase, near oil seal. ran engine, leak check good.",20,1
103806,"OIL LEAK AT FRONT LOWER PORTION OF CRANKCASE, NEAR OIL SEAL. REPLACED CRANKSHAFT OIL SEAL IAW LYCOMING . REI","oil leak at front lower portion of crankcase, near oil seal. replaced crankshaft oil seal in accordance with lycoming. rei",21,1
103807,SCREW MISSING FROM #3 SIDE BAFFLE. INSTALLED SCREW.,screw missing from number 3 side baffle. installed screw.,10,1
103808,#3 INTAKE TUBE GASKET IS LEAKING. REMOVED & REPLACED INTAKE GASKET.,number 3 intake tube gasket is leaking. removed and replaced intake gasket.,13,2
103809,#2 ROCKER BOX COVER IS LEAKING. REMOVED & REPLACED ROCKER COVER GASKET.,number 2 rocker box cover is leaking. removed and replaced rocker cover gasket.,14,2
103810,"L/H ENG #2 FWD ENGINE BAFFLE LOOSE. CLEANED THREADS, INSTALLED PROPER SCREW.","left-hand engine number 2 forward engine baffle loose. cleaned threads, installed proper screw.",15,4
103811,R/H ENG #1 ROCKER BOX COVER GASKET LEAKING. REPLACED GASKET W/ NEW SILICONE GASKET.,right-hand engine number 1 rocker box cover gasket leaking. replaced gasket with new silicone gasket.,16,4
103812,R/H ENG #2 CYL COMPRESSION 15/80 (EXHAUST LEAK). REMOVED CYL FROM ENGINE. REMOVED BOTH EXHAUST & INTAKE,right-hand engine number 2 cylinder compression 15/80 exhaust leak. removed cylinder from engine. removed both exhaust and intake,21,6
103813,"R/H ENG #2 CYL COMPRESSION 15/80 (EXHAUST LEAK). REINSTALLED CYL, TORQUED TO SPECS. CK DRY VALVE CLEARAN","right-hand engine number 2 cylinder compression 15/80 exhaust leak. reinstalled cylinder, torqued to specs. check dry valve clearan",22,6
103814,#4 INTAKE LEAKING. REMOVED & REPLACED INTAKE GASKET.,number 4 intake leaking. removed and replaced intake gasket.,10,2
103815,#4 INTAKE GASKET LEAKING. REMOVED & REPLACED #4 INTAKE GASKET.,number 4 intake gasket leaking. removed and replaced number 4 intake gasket.,12,3
103816,SCREW MISSING ON AFT #4 CYLINDER ENGINE BAFFLE. INSTALLED NEW SCREW & APPLICABLE WASHERS ON #4 CYL ENG,screw missing on aft number 4 cylinder engine baffle. installed new screw and applicable washers on number 4 cylinder engine,19,5
103817,"CREW REQUESTED START ASSTI, L/H ENGINE WOULD NOT START. STARTED L/H ENGINE FOR CREW.","crew requested start assist, left-hand engine would not start. started left-hand engine for crew.",17,3
103818,"#2, 3, 4 INTAKE GASKETS LEAKING ON L/H ENG. REMOVED & REPLACED INTAKE GASKETS.","number 2, 3, 4 intake gaskets leaking on left-hand engine. removed and replaced intake gaskets.",18,4
103819,#3 VALVE COVER GASKET LEAKING ON L/H ENGINE. REMOVED & REPLACED #3 VALVE COVER GASKET.,number 3 valve cover gasket leaking on left-hand engine. removed and replaced number 3 valve cover gasket.,17,4
103820,"#1, 2, 3 VALVE COVER GASKETS LEAKING ONR/H ENGINE. REMOVED & REPLACED VALVE COVER GASKETS.","number 1, 2, 3 valve cover gaskets leaking on r/h engine. removed and replaced valve cover gaskets.",19,3
103821,ALL ROCKER COVER SCREWS ARE LOOSE. TIGHTENED ALL SCREWS.,all rocker cover screws are loose. tightened all screws.,11,0
103822,#2 & 4 CYL INTAKE GASKETS LEAKING. REMOVED & REPLACED GASKETS.,number 2 and 4 cylinder intake gaskets leaking. removed and replaced gaskets.,13,4
103823,#2 & 4 INTAKE LEAKING. REMOVED & REPLACED GASKETS.,number 2 and 4 intake leaking. removed and replaced gaskets.,11,3
103824,"#3, 4 & 1 INTAKES ARE LEAKING. REPLACED INTAKE GASKETS.","number 3, 4 and 1 intakes are leaking. replaced intake gaskets.",13,2
103825,#3 ROCKER COVER IS LEAKING. REPLACED ROCKER COVER GASKET.,number 3 rocker cover is leaking. replaced rocker cover gasket.,11,1
103826,L/H ENG #3 INTAKE GASKET LEAKING. REMOVED & REPLACED GASKET.,left-hand engine number 3 intake gasket leaking. removed and replaced gasket.,12,4
103827,"#2 INTAKE GASKET LEAKING, R/H ENGINE. REMOVED & REPLACED GASKET.","number 2 intake gasket leaking, right-hand engine. removed and replaced gasket.",13,3
103828,"CRACK IN ENGINE BAFFLE, ABOVE #3 CYL, R/H ENGINE. STOP DRILLED CRACK.","crack in engine baffle, above number 3 cylinder, right-hand engine. stop drilled crack.",16,3
103829,L/H ENG COWL SEAL UNSECURED ABOVE #4 CYL. SECURED COWL SEAL ABOVE #4 CYL.,left-hand engine cowl seal unsecured above number 4 cylinder. secured cowl seal above number 4 cylinder.,16,6
103830,R/H ENG PRIMER LINE CHAFING ON #2 INTAKE TUBE. REMOVED & REPLACED TUBE. NO DAMAGE NOTED ON PRIMER LINE,right-hand engine primer line chafing on number 2 intake tube. removed and replaced tube. no damage noted on primer line,21,4
103831,L/H SIDE BAFFLING ON #3 CYL CRACKED. STOP DRILLED CRACK.,left-hand side baffling on number 3 cylinder cracked. stop drilled crack.,12,3
103832,"BAFFLE SEAL ABOVE #4 CYL, L/H ENG, HAS PULLED RIVET. RESECURED BAFFLE SEAL.","baffle seal above number 4 cylinder, left-hand engine, has pulled rivet. resecured baffle seal.",17,4
103833,SCREW MISSING IN #3 SIDE BAFFLE. INSTALLED SCREW.,screw missing in number 3 side baffle. installed screw.,10,1
103834,L/H BAFFLE PLUG NEEDS TO BE REPLACED. INSTALLED NEW PLUG.,left-hand baffle plug needs to be replaced. installed new plug.,12,1
103835,#2 & 3 INTAKE GASKETS LEAKING ON L/H ENGINE. REMOVED & REPLACED GASKETS.,number 2 and 3 intake gaskets leaking on left-hand engine. removed and replaced gaskets.,15,4
103836,#2 INTAKE GASKET LEAKING ON R/H ENGINE. REMOVED & REPLACED W/ NEW GASKET.,number 2 intake gasket leaking on right-hand engine. removed and replaced with new gasket.,15,4
103837,LOOSE RIVETS NOTED ON R/H SIDE OF CARB AIR BOX ON L/H ENGINE. REMOVED LOOSE RIVETS & INSTALLED SCREWS.,loose rivets noted on right-hand side of carb airbox on left-hand engine. removed loose rivets and installed screws.,20,3
103838,#1 CYL BAFFLING CRACKED BY ALTERNATOR BELT. STOP DRILLED CRACK.,number 1 cylinder baffling cracked by alternator belt. stop drilled crack.,12,2
103839,OIL COOLER SUPPORT BRACKET ON CYL #4 CRACKED. FABRICATED NEW BRACKET OUT OF LIKE MATERIAL.,oil cooler support bracket on cylinder number 4 cracked. fabricated new bracket out of like material.,17,2
103840,#2 INTAKE LEAKING ON R/H ENGINE. REPLACED GASKET.,number 2 intake leaking on right-hand engine. replaced gasket.,10,2
103841,#3 SIDE BAFFLE CRACKED ON R/H ENGINE. STOP DRILLED CRACK.,number 3 side baffle cracked on right-hand engine. stop drilled crack.,12,2
103842,#3 INTAKE LEAKING ON R/H ENGINE. REMOVED & REPLACED GASKET.,number 3 intake leaking on right-hand engine. removed and replaced gasket.,12,3
103843,#2 & 4 INTAKES LEAKING ON L/H ENGINE. REMOVED & REPLACED INTAKE GASKETS.,number 2 and 4 intakes leaking on left-hand engine. removed and replaced intake gaskets.,15,4
103844,"#3 AFT BAFFLE CRACKED ON R/H ENGINE. REMOVED BAFFLE, STOP DRILLED CRACK, FABRICATED & INSTAL","number 3 aft baffle cracked on right-hand engine. removed baffle, stop drilled crack, fabricated and instal",18,3
103845,"BAFFLE REPAIR PERFORMED ON PD #12 HAS RIVETS THAT ARE RUBBIN. REMOVED BAFFLE, REMOVED PREVIOUSLY INSTALLED PATCH. FAB","baffle repair performed on pd number 12 has rivets that are rubbin. removed baffle, removed previously installed patch. fab",21,1
103846,#1 FWD BAFFLE SEAL LOOSE. INSTALLED NEW POP RIVET.,number 1 forward baffle seal loose. installed new pop rivet.,11,2
103847,#4 ROCKER COVER GASKET LEAKING. REMOVED & REPLACED GASKET.,number 4 rocker cover gasket leaking. removed and replaced gasket.,11,2
103848,#3 REAR BAFFLE SCREW LOOSE. REMOVED OIL FILLER TUBE TO TIGHTEN SCREW. TIGHTENED SCR,number 3 rear baffle screw loose. removed oil filler tube to tighten screw. tightened scr,16,1
103849,#3 INTAKE GASKET LEAKING. REPLACED GASKET.,number 3 intake gasket leaking. replaced gasket.,8,1
103850,#2 INTAKE GASKET LEAKING. REMOVED & REPLACED GASKET.,number 2 intake gasket leaking. removed and replaced gasket.,10,2
103851,"BAFFLE SEAL LOOSE, FWD OF #1 CYL. SECURED BAFFLE SEAL.","baffle seal loose, forward of number 1 cylinder. secured baffle seal.",13,3
103852,1 BAFFLE PLUG WORN. REPLACED 1 PLUG.,1 baffle plug worn. replaced 1 plug.,9,0
103853,R/H BAFFLE PLUG MISSING. REPLACED PLUG.,right-hand baffle plug missing. replaced plug.,8,1
103854,R/H BAFFLE PLUG MISSING. INSTALLED BAFFLE PLUG DOUBLER.,right-hand baffle plug missing. installed baffle plug doubler.,10,1
103855,R/H FWD BAFFLE HAS A CRACK. STOP DRILLED CRACK.,right-hand forward baffle has a crack. stop drilled crack.,11,2
103856,CRACK IN R/H AFT ENGINE BAFFLE. STOP DRILLED CRACK.,crack in right-hand aft engine baffle. stop drilled crack.,11,1
103857,FWD R/H ENGINE BAFFLE SEAL NEEDS TO BE RESECURED. INSTALLED POP RIVET.,forward right-hand engine baffle seal needs to be resecured. installed pop rivet.,14,2
103858,L/H BAFFLE SEAL ON CYL #2 HAS STAPLE PULLED THROUGH. INSTALLED POP RIVET.,left-hand baffle seal on cylinder number 2 has staple pulled through. installed pop rivet.,15,3
103859,"DURING FLARE PHASE OF LANDING, ENGINE QUIT. ATTEMPTED TO RES. RETRIEVED A/C FROM RUNWAY.","during flare phase of landing, engine quit. attempted to res. retrieved aircraft from runway.",18,1
103860,"DURING FLARE PHASE OF LANDING, ENGINE QUIT. ATTEMPTED TO RES. PERFORMED GROUND RUN OF ENGINE. TRIED TO PERFORM SEASON","during flare phase of landing, engine quit. attempted to res. performed ground run of engine. tried to perform season",23,0
103861,#4 INDUCTION TUBE GASKET LEAKING. REMOVED & REPLACED GASKET.,number 4 induction tube gasket leaking. removed and replaced gasket.,11,2
103862,OIL IS LEAKING FROM TOP OF R/H ENG COWLING. RUN UP LEAK CK GOOD.,oil is leaking from top of right-hand engine cowling. run up leak check good.,16,3
103863,OIL IS LEAKING FROM TOP OF R/H ENG COWLING. INSP REVEALED 3 BOLTS ON BACK BONE LEAKING. CLEANED ALL,oil is leaking from top of right-hand engine cowling. insp revealed 3 bolts on backbone leaking. cleaned all,20,2
103864,R/H SIDE AFT BAFFLE SEAL RIVET PULLED THRU. REPLACED RIVET.,right-hand side aft baffle seal rivet pulled through. replaced rivet.,12,2
103865,CRACK NOTED BY NUTPLATE ON #1 CYL BAFFLE. STOP DRILLED CRACK.,crack noted by nutplate on number 1 cylinder baffle. stop drilled crack.,13,2
103866,#3 & 4 INTAKE GASKETS LEAKING. REMOVED & REPLACED INTAKE GASKETS.,number 3 and 4 intake gaskets leaking. removed and replaced intake gaskets.,13,3
103867,"WHILE PERFORMING GO-AROUND @ D37 ON CLIMBOUT, ENGINE SPUTTER. RAN A/C & PERFORMED GROUND RUN SEVERAL TIMES. COULD NOT","while performing go - around at d 37 on climbout, engine sputter. ran aircraft and performed ground run several times. could not",25,3
103868,#3 & 4 ROCKER COVER GASKETS LEAKING. REMOVED & REPLACED GASKETS.,number 3 and 4 rocker cover gaskets leaking. removed and replaced gaskets.,13,3
103869,SEAL WORN ABOVE AIR INTAKE. REPAIRED SEAL.,seal worn above air intake. repaired seal.,9,0
103870,L/H ENG #4 INTAKE GASKET LEAKING. REMOVED & REPLACED L/H ENG INTAKE GASKET.,left-hand engine number 4 intake gasket leaking. removed and replaced left-hand engine intake gasket.,15,6
103871,L/H ENG AFT L/H BAFFLE CRACKED. INSPECTED L/H AFT BAFFLE CRACK PREVIOUSLY C/W.,left-hand engine aft left-hand baffle cracked. inspected left-hand aft baffle crack previously complied with.,15,5
103872,"#4 CYL INTAKE TUBE FLANGE WORN, L/H ENG. REMOVED & REPLACED INTAKE TUBE FLANGE.","number 4 cylinder intake tube flange worn, left-hand engine. removed and replaced intake tube flange.",17,5
103873,R/H ENG #4 BAFFLE CRACKED. REMOVED R/H ENG OIL COOLER FROM #4 CYL BAFFLE. STOP DRI,right-hand engine number 4 baffle cracked. removed right-hand engine oil cooler from number 4 cylinder baffle. stop dri,18,7
103874,#4 INTAKE GASKET LEAKING ON R/H ENGINE. REMOVED & REPLACED #4 INTAKE GASKET ON R/H ENGINE.,number 4 intake gasket leaking on right-hand engine. removed and replaced number 4 intake gasket on right-hand engine.,18,5
103875,"#4 CYL INTAKE TUBE NEEDS TO BE REPLACED, L/H ENG. REMOVED & REPLACED L/H ENG #4 INTAKE TUBE.","number 4 cylinder intake tube needs to be replaced, left-hand engine. removed and replaced left-hand engine number 4 intake tube.",21,8
103876,#2 INTAKE LEAKING. REPLACED CYL #2 INTAKE GASKET.,number 2 intake leaking. replaced cylinder number 2 intake gasket.,10,3
103877,#4 CYL AFT BAFFLE IS CRACKED. STOP DRILLED CRACK.,number 4 cylinder aft baffle is cracked. stop drilled crack.,11,2
103878,#2 ROCKER COVER GASKET LEAKING. REPLACED GASKET.,number 2 rocker cover gasket leaking. replaced gasket.,9,1
103879,"#1, 3, 4 ROCKER COVER SCREWS LOOSE. TIGHTENED ROCKER COVER SCREWS.","number 1, 3, 4 rocker cover screws loose. tightened rocker cover screws.",15,1
103880,#2 ROCKER COVER LEAKING. REPLACED #2 ROCKER COVER GASKET.,number 2 rocker cover leaking. replaced number 2 rocker cover gasket.,11,2
103881,#2 CYL BOTTOM ENGINE BAFFLE SEAL NEEDS TO BE SECURED. SECURED SEAL W/ POP RIVET.,number 2 cylinder bottom engine baffle seal needs to be secured. secured seal with pop rivet.,17,3
103882,"1, 2, 3 ROCKER COVER GASKETS LEAKING. REMOVED, CLEANED & REPLACED W/ NEW SILICONE GASKETS.","1, 2, 3 rocker cover gaskets leaking. removed, cleaned and replaced with new silicone gaskets.",20,2
103883,FWD LWR SEAL WORN ABOVE INTAKE FILTER HOUSING. INSTALLED RTV TO WORN AREAS.,forward lower seal worn above intake filter housing. installed rtv to worn areas.,15,2
